DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,Topic_46,Topic_47,Topic_48,Topic_49,Topic_50,Topic_51,Topic_52,Topic_53,Topic_54,Topic_55,Topic_56,Topic_57,Topic_58,Topic_59,Topic_60,Topic_61,Topic_62
8042410,108,0,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.9861421,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035,0.00022718035
8132718,108,0,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.9890681,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696,0.00017921696
8673465,108,0,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.9889452,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914,0.00018122914
8707050,108,0,0.0002829864,0.0002829864,0.0002829864,0.22350162,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.28138012,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.47842205,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864,0.0002829864
9346876,108,0,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.98800117,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324,0.00019670324
9352931,108,0,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.9878532,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905,0.00019912905
9591694,108,0,0.0001832883,0.0001832883,0.0001832883,0.9888198,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883,0.0001832883
10051610,108,0,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.9771194,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023,0.0003751023
10087618,108,0,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.97018534,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704,0.0004887704
10100328,108,0,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.98574066,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352,0.00023376352
