Topic,Documents
Topic_1,2
Topic_10,8
Topic_11,2
Topic_12,3
Topic_13,5
Topic_14,9
Topic_15,1
Topic_16,4
Topic_17,4
Topic_18,3
Topic_19,2
Topic_2,5
Topic_20,4
Topic_22,1
Topic_23,4
Topic_24,8
Topic_26,8
Topic_27,6
Topic_28,3
Topic_29,1
Topic_3,2
Topic_30,7
Topic_31,1
Topic_32,8
Topic_33,4
Topic_34,2
Topic_35,1
Topic_36,6
Topic_37,3
Topic_38,6
Topic_39,9
Topic_4,3
Topic_40,3
Topic_41,2
Topic_42,3
Topic_43,3
Topic_44,2
Topic_45,3
Topic_46,4
Topic_47,1
Topic_48,3
Topic_49,3
Topic_5,3
Topic_50,10
Topic_51,2
Topic_52,5
Topic_53,2
Topic_54,7
Topic_55,10
Topic_56,4
Topic_57,5
Topic_58,2
Topic_59,3
Topic_6,4
Topic_60,1
Topic_61,3
Topic_62,1
Topic_7,1
Topic_8,10
Topic_9,5
