Topic,Documents
Topic_1,4
Topic_10,8
Topic_11,4
Topic_12,5
Topic_13,5
Topic_14,2
Topic_15,6
Topic_16,1
Topic_17,6
Topic_18,4
Topic_19,7
Topic_2,2
Topic_20,1
Topic_21,1
Topic_22,3
Topic_23,5
Topic_25,3
Topic_26,2
Topic_27,3
Topic_28,2
Topic_29,13
Topic_3,3
Topic_30,2
Topic_31,2
Topic_32,1
Topic_33,5
Topic_34,3
Topic_35,4
Topic_36,5
Topic_38,7
Topic_39,2
Topic_4,6
Topic_40,1
Topic_41,3
Topic_42,3
Topic_43,3
Topic_44,2
Topic_45,1
Topic_47,2
Topic_48,2
Topic_49,2
Topic_5,4
Topic_50,3
Topic_51,1
Topic_52,6
Topic_53,3
Topic_54,5
Topic_55,3
Topic_56,2
Topic_57,3
Topic_58,3
Topic_59,1
Topic_60,2
Topic_61,2
Topic_62,5
Topic_63,7
Topic_64,3
Topic_65,2
Topic_66,3
Topic_67,1
Topic_68,4
Topic_7,6
Topic_70,5
Topic_71,2
Topic_72,3
Topic_73,6
Topic_74,2
Topic_76,5
Topic_8,1
Topic_9,1
