Topic,Documents
Topic_1,6
Topic_10,4
Topic_11,3
Topic_12,6
Topic_13,3
Topic_14,1
Topic_16,1
Topic_17,4
Topic_18,3
Topic_19,5
Topic_2,4
Topic_20,3
Topic_21,3
Topic_22,3
Topic_23,1
Topic_24,2
Topic_25,2
Topic_26,3
Topic_27,2
Topic_28,2
Topic_29,5
Topic_3,4
Topic_31,6
Topic_32,1
Topic_34,1
Topic_35,5
Topic_36,7
Topic_37,1
Topic_38,6
Topic_4,2
Topic_40,4
Topic_41,1
Topic_42,1
Topic_43,1
Topic_44,3
Topic_45,4
Topic_46,1
Topic_48,2
Topic_49,6
Topic_5,3
Topic_50,1
Topic_51,2
Topic_52,2
Topic_53,5
Topic_54,8
Topic_55,4
Topic_57,4
Topic_58,6
Topic_59,4
Topic_6,2
Topic_60,9
Topic_61,2
Topic_62,2
Topic_64,6
Topic_66,11
Topic_67,3
Topic_68,3
Topic_69,6
Topic_7,5
Topic_70,7
Topic_71,1
Topic_72,2
Topic_73,3
Topic_75,4
Topic_77,3
Topic_78,4
Topic_79,2
Topic_8,1
Topic_9,3
