Topic,Documents
Topic_1,8
Topic_10,5
Topic_11,2
Topic_12,3
Topic_13,8
Topic_14,2
Topic_15,1
Topic_17,11
Topic_18,12
Topic_19,7
Topic_2,1
Topic_20,1
Topic_21,2
Topic_22,7
Topic_23,7
Topic_24,1
Topic_25,6
Topic_26,4
Topic_27,3
Topic_28,3
Topic_29,6
Topic_3,4
Topic_30,3
Topic_31,3
Topic_32,1
Topic_33,4
Topic_34,11
Topic_35,4
Topic_37,1
Topic_38,11
Topic_39,4
Topic_4,4
Topic_40,2
Topic_41,3
Topic_42,4
Topic_43,4
Topic_44,3
Topic_45,3
Topic_47,3
Topic_48,2
Topic_49,2
Topic_5,6
Topic_50,8
Topic_51,3
Topic_52,4
Topic_54,2
Topic_55,4
Topic_56,2
Topic_57,2
Topic_58,2
Topic_59,4
Topic_6,5
Topic_60,3
Topic_61,2
Topic_62,8
Topic_63,5
Topic_7,2
Topic_8,2
