Topic,Documents
Topic_1,5
Topic_10,5
Topic_11,2
Topic_12,1
Topic_13,3
Topic_14,8
Topic_15,3
Topic_16,5
Topic_17,2
Topic_18,4
Topic_19,3
Topic_2,18
Topic_20,6
Topic_21,2
Topic_22,1
Topic_23,3
Topic_24,4
Topic_26,8
Topic_27,6
Topic_28,3
Topic_29,2
Topic_3,2
Topic_30,5
Topic_31,1
Topic_32,5
Topic_33,4
Topic_34,3
Topic_35,3
Topic_36,6
Topic_37,5
Topic_38,4
Topic_39,3
Topic_4,3
Topic_40,1
Topic_41,4
Topic_42,1
Topic_43,2
Topic_44,2
Topic_45,1
Topic_46,2
Topic_47,2
Topic_48,4
Topic_49,3
Topic_5,1
Topic_50,5
Topic_51,4
Topic_52,7
Topic_53,4
Topic_54,10
Topic_55,1
Topic_56,3
Topic_57,2
Topic_58,3
Topic_59,4
Topic_6,5
Topic_60,2
Topic_61,1
Topic_7,2
Topic_8,13
Topic_9,13
