Topic,Documents
Topic_1,3
Topic_10,4
Topic_11,3
Topic_12,5
Topic_13,3
Topic_14,13
Topic_15,8
Topic_16,4
Topic_17,10
Topic_18,4
Topic_19,5
Topic_2,8
Topic_20,3
Topic_21,3
Topic_22,12
Topic_24,1
Topic_25,3
Topic_26,6
Topic_27,5
Topic_28,4
Topic_29,9
Topic_3,5
Topic_30,5
Topic_31,2
Topic_32,4
Topic_33,3
Topic_34,4
Topic_35,2
Topic_36,4
Topic_37,6
Topic_38,1
Topic_39,1
Topic_4,3
Topic_40,2
Topic_41,3
Topic_42,6
Topic_43,1
Topic_44,4
Topic_45,8
Topic_46,1
Topic_47,6
Topic_48,6
Topic_5,1
Topic_50,3
Topic_51,3
Topic_52,3
Topic_53,3
Topic_54,2
Topic_55,2
Topic_56,5
Topic_57,1
Topic_59,3
Topic_6,2
Topic_7,12
Topic_8,3
Topic_9,4
