Topic,Documents
Topic_1,1
Topic_10,2
Topic_11,3
Topic_12,1
Topic_13,4
Topic_14,9
Topic_15,3
Topic_16,6
Topic_17,4
Topic_18,4
Topic_19,1
Topic_2,13
Topic_20,3
Topic_21,1
Topic_23,5
Topic_24,6
Topic_26,9
Topic_27,5
Topic_29,2
Topic_30,12
Topic_31,3
Topic_32,7
Topic_33,4
Topic_34,5
Topic_35,2
Topic_36,5
Topic_37,6
Topic_38,5
Topic_39,3
Topic_4,2
Topic_40,2
Topic_41,6
Topic_42,4
Topic_44,1
Topic_45,2
Topic_46,4
Topic_47,5
Topic_48,5
Topic_49,4
Topic_5,3
Topic_50,8
Topic_51,3
Topic_52,5
Topic_53,4
Topic_54,3
Topic_55,3
Topic_56,2
Topic_6,6
Topic_7,1
Topic_8,14
Topic_9,19
