Topic,Documents
Topic_1,2
Topic_10,2
Topic_11,12
Topic_12,1
Topic_13,1
Topic_14,2
Topic_17,6
Topic_18,2
Topic_19,6
Topic_20,1
Topic_21,4
Topic_23,6
Topic_24,3
Topic_25,2
Topic_26,5
Topic_27,2
Topic_28,5
Topic_29,2
Topic_3,1
Topic_30,1
Topic_31,8
Topic_32,4
Topic_33,1
Topic_34,1
Topic_35,4
Topic_36,4
Topic_37,3
Topic_38,3
Topic_39,2
Topic_4,6
Topic_40,3
Topic_41,7
Topic_42,8
Topic_44,3
Topic_45,2
Topic_46,1
Topic_47,2
Topic_48,1
Topic_49,1
Topic_5,3
Topic_50,3
Topic_51,3
Topic_52,2
Topic_53,2
Topic_54,2
Topic_56,5
Topic_57,5
Topic_58,2
Topic_59,1
Topic_6,7
Topic_60,2
Topic_61,3
Topic_62,2
Topic_63,5
Topic_64,7
Topic_65,1
Topic_67,2
Topic_68,4
Topic_69,7
Topic_7,15
Topic_70,2
Topic_71,4
Topic_72,3
Topic_73,4
Topic_74,7
Topic_76,2
Topic_8,2
Topic_9,3
