Topic,Documents
Topic_1,3
Topic_10,4
Topic_11,7
Topic_12,8
Topic_13,3
Topic_14,1
Topic_15,2
Topic_16,1
Topic_17,4
Topic_18,3
Topic_19,8
Topic_2,4
Topic_20,4
Topic_21,2
Topic_22,6
Topic_23,3
Topic_24,2
Topic_25,1
Topic_26,12
Topic_27,4
Topic_28,1
Topic_29,7
Topic_3,9
Topic_30,2
Topic_31,7
Topic_32,6
Topic_33,5
Topic_34,1
Topic_35,9
Topic_36,13
Topic_37,5
Topic_38,5
Topic_4,4
Topic_40,10
Topic_42,1
Topic_43,5
Topic_44,8
Topic_45,8
Topic_46,2
Topic_47,1
Topic_49,18
Topic_5,4
Topic_50,2
Topic_51,3
Topic_52,5
Topic_53,3
Topic_6,1
Topic_7,3
Topic_8,4
Topic_9,6
