TopicID,Topic,Rank,WordID,Word,Probability
0,Topic_1,1,100,receptor,0.045213237
0,Topic_1,2,290,growth,0.04231756
0,Topic_1,3,122,factor,0.032976385
0,Topic_1,4,503,cancer,0.02635816
0,Topic_1,5,758,tumor,0.024071604
0,Topic_1,6,871,limb,0.023984307
0,Topic_1,7,151,level,0.02372628
0,Topic_1,8,82,expression,0.022719009
0,Topic_1,9,598,p,0.02061002
0,Topic_1,10,263,signaling,0.019609056
0,Topic_1,11,249,expressed,0.018920952
0,Topic_1,12,152,ligand,0.018086834
0,Topic_1,13,821,igf,0.017932013
0,Topic_1,14,803,breast,0.016268069
0,Topic_1,15,7,binding,0.012545702
0,Topic_1,16,324,inhibition,0.012219449
0,Topic_1,17,830,prognostic,0.011989492
0,Topic_1,18,804,igfs,0.011776685
0,Topic_1,19,589,mouse,0.009977336
0,Topic_1,20,816,estrogen,0.009955406
1,Topic_2,1,128,n,0.02424819
1,Topic_2,2,230,line,0.023001231
1,Topic_2,3,82,expression,0.015902849
1,Topic_2,4,542,polymorphism,0.015363418
1,Topic_2,5,539,genotyping,0.015230614
1,Topic_2,6,429,apoptosis,0.013744104
1,Topic_2,7,758,tumor,0.013538235
1,Topic_2,8,526,strain,0.013413664
1,Topic_2,9,736,immunoreactivity,0.013313608
1,Topic_2,10,322,human,0.012294218
1,Topic_2,11,241,important,0.011896835
1,Topic_2,12,311,agent,0.011260497
1,Topic_2,13,438,significant,0.011251194
1,Topic_2,14,472,infected,0.0111087365
1,Topic_2,15,161,single,0.011044592
1,Topic_2,16,712,strong,0.010526446
1,Topic_2,17,1,able,0.010346938
1,Topic_2,18,214,set,0.010246682
1,Topic_2,19,598,p,0.010075023
1,Topic_2,20,660,brain,0.009549634
2,Topic_3,1,87,interaction,0.033108287
2,Topic_3,2,315,body,0.024465125
2,Topic_3,3,185,microtubule,0.022014843
2,Topic_3,4,100,receptor,0.021134483
2,Topic_3,5,105,structure,0.016755572
2,Topic_3,6,6,based,0.0158604
2,Topic_3,7,2,activity,0.015763782
2,Topic_3,8,7,binding,0.014238322
2,Topic_3,9,161,single,0.014176231
2,Topic_3,10,58,surface,0.013571875
2,Topic_3,11,63,using,0.013167686
2,Topic_3,12,863,bax,0.013086872
2,Topic_3,13,23,fluorescent,0.012367177
2,Topic_3,14,112,used,0.012352678
2,Topic_3,15,34,living,0.012225568
2,Topic_3,16,156,nuclear,0.012170811
2,Topic_3,17,29,imaging,0.012087465
2,Topic_3,18,314,beta,0.011975474
2,Topic_3,19,53,result,0.011824385
2,Topic_3,20,191,approach,0.011480636
3,Topic_4,1,82,expression,0.04595383
3,Topic_4,2,151,level,0.035453003
