TopicID,Topic,Rank,WordID,Word,Probability
0,Topic_1,1,561,polymorphism,0.04853736
0,Topic_1,2,645,codon,0.04503053
0,Topic_1,3,670,prnp,0.04461527
0,Topic_1,4,366,human,0.042675335
0,Topic_1,5,639,prion,0.031142287
0,Topic_1,6,5,analysis,0.019704962
0,Topic_1,7,175,study,0.018144606
0,Topic_1,8,823,insulin,0.017204909
0,Topic_1,9,587,disease,0.017101843
0,Topic_1,10,437,general,0.016392153
0,Topic_1,11,825,mitogenic,0.015485469
0,Topic_1,12,476,population,0.013865059
0,Topic_1,13,59,activity,0.013529381
0,Topic_1,14,243,characterized,0.012708374
0,Topic_1,15,519,susceptibility,0.012477518
0,Topic_1,16,100,present,0.011351575
0,Topic_1,17,636,mutation,0.008981196
0,Topic_1,18,153,data,0.008765642
0,Topic_1,19,109,suggest,0.008682193
0,Topic_1,20,249,however,0.008616949
1,Topic_2,1,863,app,0.03827483
1,Topic_2,2,852,apoe,0.031099759
1,Topic_2,3,761,cancer,0.026975969
1,Topic_2,4,610,mouse,0.022236682
1,Topic_2,5,762,colon,0.02223668
1,Topic_2,6,753,apc,0.017805144
1,Topic_2,7,811,drosophila,0.017805144
1,Topic_2,8,859,abeta,0.017769743
1,Topic_2,9,262,chromosome,0.016561328
1,Topic_2,10,162,level,0.015754726
1,Topic_2,11,92,may,0.015099924
1,Topic_2,12,61,also,0.014963782
1,Topic_2,13,546,amount,0.014867051
1,Topic_2,14,97,one,0.013814595
1,Topic_2,15,601,processing,0.013796612
1,Topic_2,16,590,locus,0.0133736
1,Topic_2,17,759,polyposis,0.0133736
1,Topic_2,18,603,repeat,0.013373599
1,Topic_2,19,239,acid,0.013373599
1,Topic_2,20,555,cause,0.013179203
2,Topic_3,1,470,body,0.10887719
2,Topic_3,2,306,structure,0.05810392
2,Topic_3,3,167,nuclear,0.03638091
2,Topic_3,4,77,fluorescent,0.025291856
2,Topic_3,5,27,living,0.024740577
2,Topic_3,6,61,also,0.021879988
2,Topic_3,7,314,expressing,0.021879759
2,Topic_3,8,170,receptor,0.021879755
2,Topic_3,9,76,fluorescence,0.021678852
2,Topic_3,10,149,variant,0.01678232
2,Topic_3,11,475,multiple,0.014629463
2,Topic_3,12,63,binding,0.014629448
2,Topic_3,13,105,result,0.0146294255
2,Topic_3,14,45,single,0.014629341
2,Topic_3,15,106,revealed,0.014629271
2,Topic_3,16,123,containing,0.014629256
2,Topic_3,17,199,movement,0.014628982
2,Topic_3,18,324,showed,0.014628962
2,Topic_3,19,135,interaction,0.014628955
2,Topic_3,20,339,antibody,0.014628865
3,Topic_4,1,163,ligand,0.024214456
3,Topic_4,2,170,receptor,0.023323257
3,Topic_4,3,264,dna,0.017621467
3,Topic_4,4,34,normal,0.015646556
3,Topic_4,5,219,important,0.013407161
3,Topic_4,6,178,trafficking,0.013224498
3,Topic_4,7,131,gfp,0.012372639
3,Topic_4,8,202,activation,0.012301588
3,Topic_4,9,323,role,0.0118194055
3,Topic_4,10,366,human,0.011808648
3,Topic_4,11,312,epithelial,0.011027978
3,Topic_4,12,868,damage,0.01089874
3,Topic_4,13,79,function,0.009808999
3,Topic_4,14,339,antibody,0.008830263
3,Topic_4,15,172,response,0.008829771
3,Topic_4,16,314,expressing,0.008822722
3,Topic_4,17,160,hormone,0.008817919
3,Topic_4,18,162,level,0.008712785
3,Topic_4,19,83,imaging,0.00815491
3,Topic_4,20,175,study,0.008084011
4,Topic_5,1,761,cancer,0.07225212
4,Topic_5,2,820,breast,0.053679034
4,Topic_5,3,170,receptor,0.05096905
4,Topic_5,4,346,growth,0.04500644
4,Topic_5,5,162,level,0.039276637
4,Topic_5,6,54,tumor,0.036519267
4,Topic_5,7,489,mrna,0.02331069
4,Topic_5,8,19,expression,0.022098871
4,Topic_5,9,128,factor,0.022039587
4,Topic_5,10,390,tissue,0.019196056
4,Topic_5,11,764,carcinoma,0.017709572
4,Topic_5,12,629,p,0.0141690755
4,Topic_5,13,92,may,0.0137970615
4,Topic_5,14,323,role,0.01370163
4,Topic_5,15,232,signaling,0.012404544
4,Topic_5,16,828,igf,0.012269011
4,Topic_5,17,594,higher,0.01114605
4,Topic_5,18,839,estrogen,0.010645784
4,Topic_5,19,105,result,0.010579211
4,Topic_5,20,109,suggest,0.009636617
5,Topic_6,1,31,method,0.044168677
5,Topic_6,2,205,assay,0.0419449
5,Topic_6,3,636,mutation,0.029607467
5,Topic_6,4,335,required,0.029571842
5,Topic_6,5,264,dna,0.024681384
5,Topic_6,6,658,family,0.023707017
5,Topic_6,7,856,ad,0.023707017
5,Topic_6,8,491,pcr,0.019234553
5,Topic_6,9,147,two,0.017806564
5,Topic_6,10,5,analysis,0.017806564
5,Topic_6,11,593,greatly,0.017800536
5,Topic_6,12,520,taq,0.01626316
5,Topic_6,13,181,used,0.013727392
5,Topic_6,14,139,product,0.013647669
5,Topic_6,15,515,throughput,0.013568068
5,Topic_6,16,488,fluorogenic,0.013214138
5,Topic_6,17,490,nuclease,0.0124261435
5,Topic_6,18,299,show,0.011906103
5,Topic_6,19,55,using,0.011906103
5,Topic_6,20,600,microsatellite,0.011906103
6,Topic_7,1,877,shh,0.04324011
6,Topic_7,2,19,expression,0.036904063
6,Topic_7,3,95,mutant,0.024797807
6,Topic_7,4,636,mutation,0.02286064
6,Topic_7,5,451,treatment,0.017657652
6,Topic_7,6,54,tumor,0.01765762
6,Topic_7,7,249,however,0.017321175
6,Topic_7,8,13,development,0.01695167
6,Topic_7,9,422,minor,0.014718736
6,Topic_7,10,432,condition,0.014711968
6,Topic_7,11,482,stage,0.01441123
6,Topic_7,12,172,response,0.014380371
6,Topic_7,13,469,apoptosis,0.012654686
6,Topic_7,14,610,mouse,0.011789484
6,Topic_7,15,105,result,0.011659858
6,Topic_7,16,366,human,0.0112041915
6,Topic_7,17,299,show,0.010402759
6,Topic_7,18,162,level,0.010048762
6,Topic_7,19,294,line,0.009390796
6,Topic_7,20,79,function,0.008954033
7,Topic_8,1,639,prion,0.08489304
7,Topic_8,2,587,disease,0.08397371
7,Topic_8,3,670,prnp,0.04285636
7,Topic_8,4,632,disorder,0.029323904
7,Topic_8,5,647,deposit,0.024649655
7,Topic_8,6,78,formation,0.024644373
7,Topic_8,7,672,sporadic,0.023246776
7,Topic_8,8,415,diffuse,0.023132008
7,Topic_8,9,644,cjd,0.023105087
7,Topic_8,10,588,genetic,0.022872241
7,Topic_8,11,663,amyloid,0.021324195
7,Topic_8,12,21,found,0.019389378
7,Topic_8,13,366,human,0.016486304
7,Topic_8,14,698,relationship,0.016472643
7,Topic_8,15,655,syndrome,0.016472643
7,Topic_8,16,732,cerebral,0.016464613
7,Topic_8,17,43,process,0.016463747
7,Topic_8,18,234,support,0.016463267
7,Topic_8,19,608,pathogenic,0.016463099
7,Topic_8,20,306,structure,0.016460743
8,Topic_9,1,162,level,0.04237983
8,Topic_9,2,489,mrna,0.0370611
8,Topic_9,3,352,tyrosine,0.036172338
8,Topic_9,4,226,phosphorylation,0.032110397
8,Topic_9,5,232,signaling,0.030410998
8,Topic_9,6,753,apc,0.03017756
8,Topic_9,7,451,treatment,0.030173033
8,Topic_9,8,379,effect,0.024743574
8,Topic_9,9,346,growth,0.021266721
8,Topic_9,10,84,increased,0.018758962
8,Topic_9,11,59,activity,0.018480893
8,Topic_9,12,565,reduced,0.018143805
8,Topic_9,13,63,binding,0.017998317
8,Topic_9,14,839,estrogen,0.01736071
8,Topic_9,15,128,factor,0.01660421
8,Topic_9,16,761,cancer,0.015318274
8,Topic_9,17,294,line,0.012566546
8,Topic_9,18,105,result,0.012137017
8,Topic_9,19,220,increase,0.012135356
8,Topic_9,20,736,basal,0.012132231
9,Topic_10,1,54,tumor,0.037382577
9,Topic_10,2,366,human,0.016203607
9,Topic_10,3,610,mouse,0.015443303
9,Topic_10,4,19,expression,0.01418169
9,Topic_10,5,509,patient,0.014114034
9,Topic_10,6,323,role,0.011504586
9,Topic_10,7,376,control,0.011447365
9,Topic_10,8,636,mutation,0.011140998
9,Topic_10,9,92,may,0.011125505
9,Topic_10,10,232,signaling,0.011023144
9,Topic_10,11,721,carrying,0.010054913
9,Topic_10,12,321,play,0.00979574
9,Topic_10,13,429,type,0.009722157
9,Topic_10,14,162,level,0.009715674
9,Topic_10,15,61,also,0.009550136
9,Topic_10,16,878,sonic,0.009152136
9,Topic_10,17,78,formation,0.009082108
9,Topic_10,18,349,pathway,0.008813471
9,Topic_10,19,219,important,0.008542161
9,Topic_10,20,842,metastatic,0.008398562
10,Topic_11,1,646,dementia,0.07133178
10,Topic_11,2,852,apoe,0.063065335
10,Topic_11,3,587,disease,0.044773605
10,Topic_11,4,553,allele,0.043886747
10,Topic_11,5,746,alzheimers,0.043169484
10,Topic_11,6,138,n,0.039290495
10,Topic_11,7,549,risk,0.028049769
10,Topic_11,8,629,p,0.023649653
10,Topic_11,9,677,history,0.017898405
10,Topic_11,10,175,study,0.017013019
10,Topic_11,11,627,e,0.015987309
10,Topic_11,12,699,age,0.01489851
10,Topic_11,13,658,family,0.014332353
10,Topic_11,14,757,lesion,0.014332353
10,Topic_11,15,594,higher,0.014332353
10,Topic_11,16,859,abeta,0.014332349
10,Topic_11,17,84,increased,0.01433123
10,Topic_11,18,4,among,0.01352283
10,Topic_11,19,411,association,0.010765516
10,Topic_11,20,748,carrier,0.010765148
11,Topic_12,1,205,assay,0.08326813
11,Topic_12,2,491,pcr,0.06530846
11,Topic_12,3,511,sample,0.04162245
11,Topic_12,4,494,probe,0.0378777
11,Topic_12,5,488,fluorogenic,0.03419384
11,Topic_12,6,263,detection,0.025874097
11,Topic_12,7,31,method,0.021525756
11,Topic_12,8,490,nuclease,0.021494
11,Topic_12,9,514,taqman,0.020530716
11,Topic_12,10,487,dye,0.018511372
11,Topic_12,11,486,detect,0.017526295
11,Topic_12,12,171,reporter,0.017458385
11,Topic_12,13,492,polymerase,0.016572427
11,Topic_12,14,550,strain,0.016495124
11,Topic_12,15,44,sequence,0.015405601
11,Topic_12,16,105,result,0.015089047
11,Topic_12,17,235,target,0.014390697
11,Topic_12,18,76,fluorescence,0.013388681
11,Topic_12,19,484,amplification,0.013100104
11,Topic_12,20,355,developed,0.012846323
12,Topic_13,1,644,cjd,0.06286785
12,Topic_13,2,639,prion,0.05062949
12,Topic_13,3,587,disease,0.031421516
12,Topic_13,4,509,patient,0.028547259
12,Topic_13,5,672,sporadic,0.025554134
