Topics,RPC,NAP,UMass,CV,UCI,NPMI,NAC_UMass,NAC_CV,NAC_UCI,NAC_NPMI,Mean_MCC,Mean_F1,Mean_Accuracy
2,,0.4794425946767012,-4.498520729576055,0.34726294808136887,-3.8807980536172137,-0.10842356990331703,0.8275426325837847,0.6349386331012894,0.6497863690553249,0.6784235082607603,0.2258313732513034,0.22949708064014782,0.28888888888888886
3,0.1243593873237017,0.48843435357257475,-3.698661397467325,0.39275942130599006,-3.28317095527228,-0.06886822595422845,0.6806820001362713,0.7183008384279252,0.5482347041936402,0.4329994679387932,0.3421014357104754,0.3689420713276144,0.4
4,0.12698740320501273,0.4976412170021357,-3.1422029952270143,0.43866338852761216,-2.8719781384832808,-0.04592491490546356,0.5776914369627624,0.8030528798682444,0.477563481497883,0.28518197662938094,0.47813806067478487,0.4981777155306567,0.5233333333333333
5,0.15933916399288636,0.5091738682523519,-2.990092147908435,0.45710960719975224,-2.705568418819701,-0.03422358426465848,0.5492742020937653,0.8361838113982445,0.4535936321672045,0.21812405378995203,0.5234841539571391,0.5408299585404849,0.5644444444444445
6,0.1297543154511727,0.5186038670858645,-3.0376568391206087,0.48578538212998545,-2.6652039488946158,-0.026374916782573043,0.5606953510083329,0.8895340911274037,0.44546108595925576,0.16886702896911548,0.6028935188183804,0.6195279557044262,0.6366666666666666
7,0.15140305366460605,0.5295878773255385,-2.846511744246528,0.5153277589245404,-2.6651659784775257,-0.02358141817895282,0.5246065050224271,0.9425439594331033,0.4460529433547962,0.15046853918369185,0.6580991478973532,0.6742552245369583,0.6866666666666668
8,0.1344574147319331,0.5393073824077006,-3.384284642109267,0.4656451401014324,-3.1152688565546884,-0.042252594530537126,0.6181848882468415,0.8513960219072146,0.5191125928004438,0.28893467401109213,0.6915376882900505,0.7020618967089555,0.7177777777777777
9,0.11267749836344032,0.5474736672431806,-3.2246786214859036,0.48377707843023854,-3.0043414495564473,-0.03752797608507974,0.5931395576040509,0.8856430979514338,0.49936024794762124,0.23372612324947406,0.6973851181188482,0.7085399034516682,0.7233333333333334
10,0.1089616349488977,0.5553515582611681,-3.259438632452774,0.486895878274312,-3.282243963926592,-0.047936574526587464,0.6003822183398562,0.8911745190818412,0.5465433766238104,0.29858480095161016,0.7375629676717168,0.7515706465876744,0.76
11,0.1370928477604038,0.5652794745925265,-3.087668450823963,0.5074424768464786,-3.069484263243115,-0.03710741278113388,0.5671632516616282,0.9287077536511535,0.5088031913639536,0.2253756033602948,0.7450773312939921,0.7584637062284122,0.7666666666666667
12,0.12118860978431659,0.5740821089960735,-3.3593537167791467,0.47313226052497337,-3.4036766004026178,-0.0555466084594442,0.6186258302967087,0.8655846184214658,0.5663312870395668,0.34521794546074114,0.7656784466771003,0.7798525635584459,0.7855555555555556
13,0.12421517480246513,0.5830546656366947,-3.0865182235611264,0.5029128214925961,-3.2291885936010822,-0.048468510966395,0.5659675995507666,0.9204911822125983,0.5345488476837854,0.2945820327489378,0.7694837124660685,0.7850061614225701,0.788888888888889
14,0.1111371836835566,0.5911400630392645,-3.2942323324038028,0.47365557175194406,-3.329809504743045,-0.05198503787812734,0.6075212181348718,0.8671209401258636,0.5521334280632223,0.32119114675084903,0.774685800795807,0.7826672858731683,0.7933333333333332
15,0.09255437532595923,0.5977950599511802,-3.168485610897352,0.49279958928604567,-3.4496523396246923,-0.05493084378474032,0.5851223496637431,0.90181107834727,0.5747384740318973,0.3455397406989079,0.8128203611509663,0.8268302993302994,0.8288888888888888
16,0.11314506556479417,0.6059997529441498,-3.351342846920994,0.503850574151264,-3.4109094955889616,-0.052358311915699576,0.6179814952396178,0.9216583175128659,0.5678421734187573,0.32502557759768536,0.8287424774979671,0.8376917483388071,0.8433333333333334
17,0.11682037542745712,0.6144850688456577,-3.301574348748327,0.4878930492193029,-3.628139801911349,-0.06427475986519114,0.6072398706842066,0.8927980783825238,0.6043753982130232,0.3992535035536645,0.8230660582222755,0.8352051282051282,0.8388888888888889
18,0.08414923955411842,0.6205786303129309,-3.1216248761331924,0.5013926136884673,-3.5122315093358565,-0.057677073237717924,0.5746495699354458,0.9173233407812557,0.586396515822164,0.36242399182478413,0.8633202622565262,0.8744931212578271,0.8755555555555556
19,0.13819126568352824,0.6304507477984752,-3.709536267685297,0.4547584647012431,-3.981644411229894,-0.07877685049704822,0.6831062677044191,0.8318707178495781,0.6632681068077037,0.4900658947108651,0.8146966295529261,0.8215550005550005,0.8299999999999998
20,0.1396505427760601,0.6404553568600448,-3.4652801761157823,0.45953164990215534,-3.793999761207693,-0.07340870489195006,0.6380396300467902,0.840984928959303,0.6330074238179375,0.4599555055415371,0.8190008586644357,0.8323890728008376,0.8344444444444445
21,0.043226840797335644,0.6433983678367763,-3.5426879904942714,0.4852843306348033,-3.8912079686964205,-0.07467304177992466,0.6520428757395852,0.8877157173431474,0.6480272050100854,0.4648186919656827,0.8266683051585544,0.835822510822511,0.8411111111111111
