Fold,Metric,NAC_SelectedK,NAC_Value,NAC_Selected_MCC,DownstreamOptimalK,DownstreamOptimalMCC,K_Agreement,MCC_Loss
1,NAC_UMass,97,1.0,0.7648286425117171,22,0.9398125283597564,False,0.17498388584803926
1,NAC_CV,11,1.0,0.7921443571836453,22,0.9398125283597564,False,0.14766817117611108
1,NAC_UCI,97,1.0,0.7648286425117171,22,0.9398125283597564,False,0.17498388584803926
1,NAC_NPMI,97,1.0,0.7648286425117171,22,0.9398125283597564,False,0.17498388584803926
2,NAC_UMass,98,1.0,0.7751168958033267,30,0.933248085150996,False,0.15813118934766934
2,NAC_CV,7,1.0,0.6055324217290734,30,0.933248085150996,False,0.3277156634219226
2,NAC_UCI,98,1.0,0.7751168958033267,30,0.933248085150996,False,0.15813118934766934
2,NAC_NPMI,98,1.0,0.7751168958033267,30,0.933248085150996,False,0.15813118934766934
3,NAC_UMass,92,1.0,0.8074693515015321,29,0.9338188088808496,False,0.12634945737931746
3,NAC_CV,7,1.0,0.6838508824184761,29,0.9338188088808496,False,0.24996792646237342
3,NAC_UCI,92,1.0,0.8074693515015321,29,0.9338188088808496,False,0.12634945737931746
3,NAC_NPMI,92,1.0,0.8074693515015321,29,0.9338188088808496,False,0.12634945737931746
4,NAC_UMass,2,1.0,0.1767053238406494,24,0.8364314718895912,False,0.6597261480489418
4,NAC_CV,6,1.0,0.6037827518531534,24,0.8364314718895912,False,0.23264872003643777
4,NAC_UCI,71,1.0,0.757925911005309,24,0.8364314718895912,False,0.07850556088428218
4,NAC_NPMI,2,1.0,0.1767053238406494,24,0.8364314718895912,False,0.6597261480489418
5,NAC_UMass,96,1.0,0.7529890097490067,16,0.8908158309106367,False,0.13782682116162992
5,NAC_CV,8,1.0,0.6894233301262398,16,0.8908158309106367,False,0.20139250078439686
5,NAC_UCI,96,1.0,0.7529890097490067,16,0.8908158309106367,False,0.13782682116162992
5,NAC_NPMI,92,1.0,0.7506467371441135,16,0.8908158309106367,False,0.1401690937665232
