Metric,AgreementRate,MeanAbsoluteKError,MedianAbsoluteKError,NumberOfFolds,AgreementPercent,Rank
UMass,0.0,14.0,10.0,5,0.0,1
NPMI,0.0,15.4,13.0,5,0.0,2
UCI,0.0,15.8,13.0,5,0.0,3
CV,0.0,16.4,18.0,5,0.0,4
NAC_CV,0.0,16.4,18.0,5,0.0,5
NAP,0.0,22.2,22.0,5,0.0,6
RPC,0.0,25.2,31.0,5,0.0,7
NAC_NPMI,0.0,60.8,68.0,5,0.0,8
NAC_UMass,0.0,61.6,68.0,5,0.0,9
NAC_UCI,0.0,66.6,68.0,5,0.0,10
