Metric,Positive,Negative,Zero,Minimum,Maximum,Mean,Total
UMass,0,495,0,-5.681448906523077,-2.4326403472674825,-3.9655625009263638,495
CV,495,0,0,0.3046840780197394,0.5573585657976553,0.4527047459363263,495
UCI,0,495,0,-6.431715036054867,-1.9273342850450843,-4.669473749759318,495
NPMI,1,494,0,-0.1781194223937633,0.010770479859611,-0.10717278387752836,495
