Fold,NAP_SelectedK,NAP_Value,NAP_Selected_MCC,DownstreamOptimalK,DownstreamOptimalMCC,K_Agreement,MCC_Loss
1,2,0.4806080990846681,0.2324011288417311,22,0.9398125283597564,False,0.7074113995180252
2,2,0.4841704152408433,0.2586077009288088,30,0.933248085150996,False,0.6746403842221872
3,2,0.4915561567011351,0.1769142680782509,29,0.9338188088808496,False,0.7569045408025987
4,2,0.4717919522098561,0.1767053238406494,24,0.8364314718895912,False,0.6597261480489418
5,2,0.4690863501470035,0.2845284445670766,16,0.8908158309106367,False,0.60628738634356
