Failure Type,Number of Metrics,Mean Original K Agreement (%),Mean Rank Difference,Mean Downstream K Agreement (%),Mean MCC Loss,Median MCC Loss,Maximum MCC Loss
Type I: Transformation-induced ranking distortion,3,0.0,49.4949,0.0,0.2128,0.2514,0.2519
Type II: Ranking-preserving downstream misalignment,2,100.0,0.0,0.0,0.4564,0.4564,0.681
