Fold,Metric,SelectedK,MetricValue,DownstreamBestK,DownstreamBestMCC,ExactMatch,AbsoluteKError
1,RPC,53,0.0004912081028756,22,0.9398125283597563,False,31
1,NAP,2,0.4806080990846681,22,0.9398125283597563,False,20
1,UMass,13,-2.4326403472674825,22,0.9398125283597563,False,9
1,CV,11,0.5369342451245162,22,0.9398125283597563,False,11
1,UCI,9,-2.4427451547061376,22,0.9398125283597563,False,13
1,NPMI,9,-0.016086830146983,22,0.9398125283597563,False,13
1,NAC_UMass,97,1.0,22,0.9398125283597563,False,75
1,NAC_CV,11,1.0,22,0.9398125283597563,False,11
1,NAC_UCI,97,1.0,22,0.9398125283597563,False,75
1,NAC_NPMI,97,1.0,22,0.9398125283597563,False,75
2,RPC,20,0.0020650842543421,30,0.9332480851509959,False,10
2,NAP,2,0.4841704152408433,30,0.9332480851509959,False,28
2,UMass,7,-2.447235811550168,30,0.9332480851509959,False,23
2,CV,7,0.5480666335063782,30,0.9332480851509959,False,23
2,UCI,5,-2.261027418729748,30,0.9332480851509959,False,25
2,NPMI,7,-0.0074746211346091,30,0.9332480851509959,False,23
2,NAC_UMass,98,1.0,30,0.9332480851509959,False,68
2,NAC_CV,7,1.0,30,0.9332480851509959,False,23
2,NAC_UCI,98,1.0,30,0.9332480851509959,False,68
2,NAC_NPMI,98,1.0,30,0.9332480851509959,False,68
3,RPC,60,6.171097957263783e-05,29,0.9338188088808496,False,31
3,NAP,2,0.4915561567011351,29,0.9338188088808496,False,27
3,UMass,6,-2.523765301025278,29,0.9338188088808496,False,23
3,CV,7,0.5482875008769668,29,0.9338188088808496,False,22
3,UCI,6,-2.1600664579570754,29,0.9338188088808496,False,23
3,NPMI,6,-0.0057722048034234,29,0.9338188088808496,False,23
3,NAC_UMass,92,1.0,29,0.9338188088808496,False,63
3,NAC_CV,7,1.0,29,0.9338188088808496,False,22
3,NAC_UCI,92,1.0,29,0.9338188088808496,False,63
3,NAC_NPMI,92,1.0,29,0.9338188088808496,False,63
4,RPC,26,0.0001218255708987,24,0.8364314718895912,False,2
4,NAP,2,0.4717919522098561,24,0.8364314718895912,False,22
4,UMass,14,-2.555683984416467,24,0.8364314718895912,False,10
4,CV,6,0.5420059157740279,24,0.8364314718895912,False,18
4,UCI,14,-2.578204327028702,24,0.8364314718895912,False,10
4,NPMI,14,-0.0175939861541246,24,0.8364314718895912,False,10
4,NAC_UMass,2,1.0,24,0.8364314718895912,False,22
4,NAC_CV,6,1.0,24,0.8364314718895912,False,18
4,NAC_UCI,71,1.0,24,0.8364314718895912,False,47
4,NAC_NPMI,2,1.0,24,0.8364314718895912,False,22
5,RPC,68,0.0001102533912611,16,0.8908158309106367,False,52
5,NAP,2,0.4690863501470035,16,0.8908158309106367,False,14
5,UMass,11,-2.511328381951342,16,0.8908158309106367,False,5
5,CV,8,0.5573585657976553,16,0.8908158309106367,False,8
5,UCI,8,-1.9273342850450843,16,0.8908158309106367,False,8
5,NPMI,8,0.010770479859611,16,0.8908158309106367,False,8
5,NAC_UMass,96,1.0,16,0.8908158309106367,False,80
5,NAC_CV,8,1.0,16,0.8908158309106367,False,8
5,NAC_UCI,96,1.0,16,0.8908158309106367,False,80
5,NAC_NPMI,92,1.0,16,0.8908158309106367,False,76
