Metric,TotalFolds,KAgreementCount,KAgreementPercentage,MeanMCCLoss,MedianMCCLoss,MaximumMCCLoss
NAC_CV,5,0,0.0,0.23187859637624833,0.23264872003643777,0.3277156634219226
NAC_NPMI,5,0,0.0,0.2518719548780982,0.15813118934766934,0.6597261480489418
NAC_UCI,5,0,0.0,0.13515938292418764,0.13782682116162992,0.17498388584803926
NAC_UMass,5,0,0.0,0.25140350035711956,0.15813118934766934,0.6597261480489418
