Topic,Documents
Topic_1,4
Topic_10,6
Topic_11,4
Topic_12,13
Topic_13,5
Topic_14,2
Topic_15,5
Topic_16,1
Topic_17,2
Topic_18,2
Topic_19,7
Topic_2,1
Topic_20,3
Topic_21,1
Topic_22,4
Topic_23,1
Topic_24,1
Topic_25,2
Topic_26,4
Topic_27,4
Topic_29,6
Topic_3,8
Topic_30,3
Topic_31,3
Topic_32,2
Topic_34,1
Topic_35,6
Topic_36,5
Topic_38,4
Topic_39,1
Topic_4,5
Topic_40,5
Topic_42,4
Topic_43,3
Topic_44,3
Topic_45,12
Topic_46,1
Topic_47,2
Topic_49,7
Topic_50,2
Topic_51,2
Topic_52,4
Topic_53,2
Topic_54,2
Topic_55,5
Topic_56,5
Topic_57,6
Topic_58,8
Topic_59,6
Topic_6,6
Topic_60,7
Topic_62,2
Topic_63,1
Topic_64,5
Topic_66,4
Topic_67,6
Topic_68,4
Topic_69,1
Topic_7,4
Topic_8,1
Topic_9,4
