Topic,Documents
Topic_1,3
Topic_10,5
Topic_11,3
Topic_12,6
Topic_13,7
Topic_14,2
Topic_15,2
Topic_16,1
Topic_17,5
Topic_18,2
Topic_19,2
Topic_2,3
Topic_20,2
Topic_22,6
Topic_23,10
Topic_25,5
Topic_26,3
Topic_27,2
Topic_29,7
Topic_3,2
Topic_30,1
Topic_31,3
Topic_32,2
Topic_34,4
Topic_35,2
Topic_36,1
Topic_37,4
Topic_39,1
Topic_4,6
Topic_40,4
Topic_41,5
Topic_42,5
Topic_43,3
Topic_44,3
Topic_46,3
Topic_47,1
Topic_48,4
Topic_5,7
Topic_50,5
Topic_51,3
Topic_52,2
Topic_53,2
Topic_54,2
Topic_55,3
Topic_56,2
Topic_58,3
Topic_59,1
Topic_6,4
Topic_60,3
Topic_61,2
Topic_62,5
Topic_63,1
Topic_64,3
Topic_66,1
Topic_67,4
Topic_68,3
Topic_69,6
Topic_7,1
Topic_70,4
Topic_71,1
Topic_72,2
Topic_73,4
Topic_74,1
Topic_75,1
Topic_76,4
Topic_78,1
Topic_79,4
Topic_8,3
Topic_80,1
Topic_81,2
Topic_82,4
Topic_83,1
Topic_84,4
Topic_85,8
Topic_9,2
