TopicID,Topic,Rank,WordID,Word,Probability
0,Topic_1,1,503,cancer,0.056996606
0,Topic_1,2,803,breast,0.039461154
0,Topic_1,3,100,receptor,0.034389593
0,Topic_1,4,290,growth,0.026545824
0,Topic_1,5,825,ir,0.019232875
0,Topic_1,6,322,human,0.018387873
0,Topic_1,7,758,tumor,0.015591883
0,Topic_1,8,261,role,0.015382304
0,Topic_1,9,823,content,0.012871261
0,Topic_1,10,151,level,0.011533692
0,Topic_1,11,369,tissue,0.010637646
0,Topic_1,12,805,insulin,0.009522089
0,Topic_1,13,122,factor,0.009242957
0,Topic_1,14,241,important,0.009118484
0,Topic_1,15,400,neuron,0.009078485
0,Topic_1,16,187,normal,0.009049968
0,Topic_1,17,456,mrna,0.008711437
0,Topic_1,18,258,play,0.008697726
0,Topic_1,19,4,also,0.008026708
0,Topic_1,20,294,pathway,0.0077647297
1,Topic_2,1,609,prion,0.044383578
1,Topic_2,2,619,prp,0.04184004
1,Topic_2,3,557,disease,0.026463632
1,Topic_2,4,322,human,0.020369284
1,Topic_2,5,637,prnp,0.018030297
1,Topic_2,6,542,polymorphism,0.012589725
1,Topic_2,7,622,codon,0.012497063
1,Topic_2,8,589,mouse,0.011940318
1,Topic_2,9,187,normal,0.011844224
1,Topic_2,10,106,study,0.0108802095
1,Topic_2,11,311,agent,0.010554758
1,Topic_2,12,861,skin,0.0100790905
1,Topic_2,13,352,control,0.009521912
1,Topic_2,14,603,disorder,0.009509775
1,Topic_2,15,611,spongiform,0.009210864
1,Topic_2,16,632,cjd,0.008712934
1,Topic_2,17,615,bse,0.00806442
1,Topic_2,18,551,allele,0.007737319
1,Topic_2,19,527,transmissible,0.0075748507
1,Topic_2,20,173,animal,0.007468197
2,Topic_3,1,87,interaction,0.017896386
2,Topic_3,2,23,fluorescent,0.017455712
2,Topic_3,3,100,receptor,0.017421339
2,Topic_3,4,22,fluorescence,0.015119195
2,Topic_3,5,34,living,0.013048224
2,Topic_3,6,124,fret,0.012572549
2,Topic_3,7,296,phosphorylation,0.012088948
2,Topic_3,8,84,gfp,0.011768703
2,Topic_3,9,7,binding,0.009275132
2,Topic_3,10,2,activity,0.008908846
2,Topic_3,11,196,donor,0.008648321
2,Topic_3,12,292,kinase,0.008311973
2,Topic_3,13,155,molecule,0.0082712835
2,Topic_3,14,136,transfer,0.008253892
2,Topic_3,15,189,acceptor,0.0082337
2,Topic_3,16,263,signaling,0.008213481
2,Topic_3,17,144,degree,0.007817639
2,Topic_3,18,301,tyrosine,0.0076077892
2,Topic_3,19,805,insulin,0.0075612813
2,Topic_3,20,284,activation,0.007450458
3,Topic_4,1,82,expression,0.03163427
3,Topic_4,2,873,shh,0.024989845
3,Topic_4,3,429,apoptosis,0.023930082
3,Topic_4,4,151,level,0.017210739
3,Topic_4,5,589,mouse,0.01609601
3,Topic_4,6,870,hedgehog,0.0137687
3,Topic_4,7,194,development,0.011901491
3,Topic_4,8,40,mutant,0.011107749
3,Topic_4,9,874,sonic,0.0105856545
3,Topic_4,10,387,type,0.009525206
3,Topic_4,11,261,role,0.009009755
3,Topic_4,12,25,function,0.008596306
3,Topic_4,13,758,tumor,0.008347741
3,Topic_4,14,230,line,0.008309381
3,Topic_4,15,832,lung,0.008209833
3,Topic_4,16,4,also,0.007706715
3,Topic_4,17,263,signaling,0.007432422
3,Topic_4,18,160,response,0.007411862
3,Topic_4,19,871,limb,0.00731558
3,Topic_4,20,37,may,0.00721693
4,Topic_5,1,846,ad,0.034280468
4,Topic_5,2,557,disease,0.03424788
4,Topic_5,3,607,mutation,0.029579291
4,Topic_5,4,842,apoe,0.02478884
4,Topic_5,5,474,patient,0.019250367
4,Topic_5,6,643,case,0.01874316
4,Topic_5,7,738,alzheimers,0.017073574
4,Topic_5,8,551,allele,0.016246308
4,Topic_5,9,632,cjd,0.012368313
4,Topic_5,10,841,epsilon,0.011301921
4,Topic_5,11,174,associated,0.011252445
4,Topic_5,12,680,familial,0.010424567
4,Topic_5,13,525,risk,0.010158216
4,Topic_5,14,631,amyloid,0.009921192
4,Topic_5,15,639,sporadic,0.009753589
4,Topic_5,16,641,age,0.009752852
4,Topic_5,17,840,apolipoprotein,0.0091514345
4,Topic_5,18,595,e,0.008967022
4,Topic_5,19,122,factor,0.008548016
4,Topic_5,20,684,onset,0.008536872
5,Topic_6,1,82,expression,0.030481324
5,Topic_6,2,312,assay,0.026492367
5,Topic_6,3,458,pcr,0.021976775
5,Topic_6,4,476,sample,0.017251005
5,Topic_6,5,204,method,0.015292256
