Topic,Documents
Topic_1,2
Topic_10,6
Topic_11,2
Topic_12,5
Topic_13,1
Topic_14,2
Topic_15,2
Topic_16,2
Topic_17,5
Topic_18,2
Topic_19,8
Topic_2,1
Topic_20,5
Topic_21,2
Topic_22,7
Topic_23,2
Topic_24,1
Topic_25,4
Topic_26,3
Topic_27,2
Topic_28,1
Topic_29,5
Topic_3,3
Topic_30,2
Topic_31,1
Topic_32,2
Topic_33,2
Topic_34,4
Topic_35,7
Topic_38,3
Topic_39,2
Topic_4,6
Topic_40,5
Topic_41,3
Topic_42,3
Topic_43,1
Topic_44,2
Topic_45,2
Topic_47,5
Topic_48,2
Topic_49,1
Topic_5,4
Topic_50,3
Topic_51,4
Topic_52,6
Topic_53,1
Topic_54,5
Topic_55,2
Topic_56,1
Topic_58,2
Topic_60,2
Topic_61,4
Topic_62,10
Topic_63,5
Topic_64,4
Topic_65,1
Topic_66,2
Topic_67,3
Topic_68,1
Topic_69,3
Topic_7,2
Topic_70,1
Topic_71,2
Topic_72,4
Topic_73,7
Topic_74,2
Topic_75,3
Topic_76,3
Topic_77,1
Topic_78,1
Topic_79,6
Topic_8,4
Topic_80,3
Topic_81,6
Topic_82,3
Topic_9,3
