Topic,Documents
Topic_1,3
Topic_10,4
Topic_14,6
Topic_16,3
Topic_17,1
Topic_18,5
Topic_19,1
Topic_2,8
Topic_20,2
Topic_22,1
Topic_23,3
Topic_24,8
Topic_26,6
Topic_27,5
Topic_28,2
Topic_3,1
Topic_30,4
Topic_31,2
Topic_32,4
Topic_33,5
Topic_34,1
Topic_36,4
Topic_37,1
Topic_38,2
Topic_39,2
Topic_40,2
Topic_42,2
Topic_43,3
Topic_45,1
Topic_46,1
Topic_47,2
Topic_48,3
Topic_49,4
Topic_5,5
Topic_50,7
Topic_51,2
Topic_52,3
Topic_53,5
Topic_54,4
Topic_56,5
Topic_57,1
Topic_59,1
Topic_6,1
Topic_60,1
Topic_61,3
Topic_63,3
Topic_64,1
Topic_65,1
Topic_66,3
Topic_67,3
Topic_68,2
Topic_69,3
Topic_7,2
Topic_70,1
Topic_71,1
Topic_72,4
Topic_74,5
Topic_75,4
Topic_77,2
Topic_78,2
Topic_79,6
Topic_8,6
Topic_81,1
Topic_82,2
Topic_84,1
Topic_85,2
Topic_86,2
Topic_87,4
Topic_88,2
Topic_89,1
Topic_9,3
Topic_90,2
Topic_91,5
Topic_92,6
Topic_93,2
Topic_95,2
Topic_96,3
Topic_97,1
Topic_98,12
