DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38
8042410,108,0,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.9862859,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565,0.00037065565
8132718,108,0,0.00029241634,0.00029241634,0.00029241634,0.24491203,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.00029241634,0.7445611,0.00029241634,0.00029241634
8673465,108,0,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.00029569,0.98905945,0.00029569
8707050,108,0,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.00046169598,0.018516045,0.00046169598,0.00046169598,0.9648628,0.00046169598
9346876,108,0,0.0003209514,0.0003209514,0.0003209514,0.17019038,0.0003209514,0.4320999,0.0003209514,0.0003209514,0.0003209514,0.38647708,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514,0.0003209514
9352931,108,0,0.00032489383,0.00032489383,0.98797977,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383,0.00032489383
9591694,108,0,0.00029905033,0.00029905033,0.00029905033,0.9889359,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033,0.00029905033
10051610,108,0,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.6787045,0.00061203825,0.00061203825,0.00061203825,0.00061203825,0.29926208,0.00061203825
10087618,108,0,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.00079746736,0.9704937,0.00079746736
10100328,108,0,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.19930117,0.28236762,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.12909712,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.00038144784,0.13128148,0.24536417
