Topic,Documents
Topic_1,2
Topic_10,5
Topic_11,1
Topic_12,3
Topic_13,5
Topic_14,8
Topic_15,1
Topic_16,1
Topic_17,5
Topic_18,3
Topic_19,4
Topic_2,8
Topic_20,4
Topic_21,3
Topic_22,7
Topic_23,1
Topic_24,3
Topic_25,1
Topic_26,7
Topic_27,2
Topic_28,3
Topic_29,3
Topic_3,1
Topic_30,6
Topic_31,5
Topic_32,4
Topic_33,3
Topic_34,2
Topic_36,1
Topic_37,5
Topic_38,1
Topic_39,5
Topic_4,2
Topic_40,3
Topic_41,4
Topic_42,1
Topic_43,1
Topic_44,3
Topic_45,4
Topic_46,2
Topic_47,3
Topic_48,5
Topic_5,2
Topic_50,3
Topic_52,2
Topic_53,4
Topic_54,4
Topic_55,4
Topic_56,2
Topic_57,2
Topic_59,5
Topic_6,4
Topic_60,2
Topic_61,3
Topic_62,1
Topic_63,1
Topic_64,1
Topic_65,3
Topic_66,4
Topic_67,5
Topic_68,1
Topic_69,2
Topic_7,7
Topic_70,8
Topic_72,2
Topic_73,2
Topic_74,2
Topic_75,3
Topic_76,2
Topic_77,3
Topic_78,4
Topic_8,2
Topic_9,9
