Topic,Documents
Topic_1,4
Topic_10,9
Topic_11,4
Topic_12,3
Topic_13,1
Topic_14,6
Topic_15,4
Topic_16,1
Topic_17,9
Topic_18,5
Topic_2,4
Topic_20,2
Topic_21,2
Topic_22,15
Topic_25,2
Topic_26,5
Topic_27,2
Topic_28,5
Topic_29,5
Topic_3,3
Topic_30,5
Topic_31,3
Topic_32,2
Topic_33,4
Topic_34,2
Topic_35,2
Topic_36,2
Topic_37,7
Topic_38,2
Topic_39,3
Topic_4,3
Topic_40,4
Topic_41,4
Topic_42,5
Topic_43,1
Topic_44,4
Topic_45,8
Topic_47,3
Topic_48,3
Topic_49,1
Topic_5,4
Topic_50,2
Topic_51,1
Topic_52,3
Topic_53,1
Topic_54,2
Topic_55,2
Topic_56,7
Topic_57,1
Topic_58,1
Topic_59,4
Topic_6,2
Topic_60,3
Topic_61,3
Topic_65,3
Topic_66,2
Topic_67,6
Topic_68,1
Topic_69,1
Topic_7,15
Topic_70,9
Topic_8,3
Topic_9,5
