Topic,Documents
Topic_1,5
Topic_11,16
Topic_12,4
Topic_13,2
Topic_14,1
Topic_15,2
Topic_16,2
Topic_17,8
Topic_18,3
Topic_19,7
Topic_2,1
Topic_20,3
Topic_21,2
Topic_22,1
Topic_23,2
Topic_24,4
Topic_25,12
Topic_26,8
Topic_27,3
Topic_28,3
Topic_29,4
Topic_3,3
Topic_30,1
Topic_31,11
Topic_32,4
Topic_33,2
Topic_34,9
Topic_35,4
Topic_36,8
Topic_37,4
Topic_38,3
Topic_39,2
Topic_4,5
Topic_40,2
Topic_41,5
Topic_42,3
Topic_44,2
Topic_45,2
Topic_46,3
Topic_47,3
Topic_48,1
Topic_49,5
Topic_5,2
Topic_50,4
Topic_51,8
Topic_52,2
Topic_53,2
Topic_54,1
Topic_55,8
Topic_56,2
Topic_57,2
Topic_58,4
Topic_59,2
Topic_6,2
Topic_60,3
Topic_7,16
Topic_8,3
Topic_9,4
