DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16
8042410,108,0,0.00090584246,0.000905842,0.9482426,0.000905842,0.00090584246,0.000905842,0.0009058421,0.0009058421,0.00090584176,0.00090584223,0.0009058421,0.0009058421,0.0009058419,0.0009058421,0.039075583,0.00090584246
8673465,108,0,0.00071025814,0.98934615,0.00071025797,0.0007102578,0.00071025797,0.0007102578,0.00071025797,0.00071025797,0.00071025774,0.0007102578,0.000710258,0.00071025797,0.0007102579,0.0007102579,0.0007102582,0.0007102578
9175625,108,0,0.0008013705,0.5667709,0.39374113,0.0008013702,0.0008013711,0.0008013705,0.02907025,0.0008013703,0.0008013702,0.0008013702,0.00080137036,0.00080137077,0.0008013717,0.0008013702,0.0008013703,0.00080137106
9245791,108,0,0.0014535893,0.9781962,0.0014535886,0.001453588,0.0014535876,0.001453588,0.0014535886,0.001453588,0.0014535883,0.001453588,0.0014535884,0.0014535893,0.0014535879,0.0014535886,0.0014535879,0.0014535877
9346876,108,0,0.4863741,0.3533456,0.0007530955,0.00075309526,0.15049012,0.0007530958,0.0007530956,0.00075309514,0.0007530953,0.00075309526,0.0007530957,0.00075309543,0.00075309526,0.0007530953,0.0007530951,0.0007530955
9352931,108,0,0.00077166856,0.39413258,0.00077166856,0.00077166804,0.0007716683,0.0007716682,0.5950641,0.0007716681,0.0007716681,0.0007716687,0.0007716683,0.00077166804,0.0007716682,0.0007716682,0.0007716679,0.0007716681
10051610,108,0,0.04517196,0.37299147,0.4410518,0.0014882196,0.0014882192,0.0014882197,0.0014882203,0.00148822,0.0014882197,0.00148822,0.122926116,0.0014882197,0.0014882196,0.0014882201,0.0014882194,0.0014882196
10087618,108,0,0.0021553,0.9676705,0.0021553007,0.0021553012,0.0021553058,0.0021552998,0.0021553,0.0021553,0.0021553005,0.0021553002,0.0021553,0.0021552998,0.0021553,0.0021553,0.0021552995,0.0021553005
10320929,108,0,0.0013298838,0.0013298845,0.36159843,0.0013298831,0.0013298838,0.0013298831,0.0013298844,0.0013298837,0.0013298836,0.0013298831,0.6197832,0.0013298834,0.0013298832,0.0013298836,0.0013298831,0.0013298842
10700148,108,0,0.0017362958,0.5104209,0.10403343,0.045230772,0.0017362967,0.0017362962,0.3194794,0.001736295,0.0017362954,0.001736295,0.0017362958,0.0017362967,0.0017362958,0.0017362952,0.0017362965,0.0017362965
10725388,108,0,0.0006868561,0.98969716,0.00068685604,0.0006868559,0.00068685604,0.0006868561,0.0006868562,0.00068685587,0.0006868559,0.00068685587,0.0006868563,0.0006868559,0.0006868558,0.0006868559,0.0006868557,0.0006868563
10806067,108,0,0.0007622263,0.0007622263,0.98856664,0.000762226,0.000762226,0.00076222606,0.0007622263,0.00076222606,0.00076222606,0.00076222606,0.0007622262,0.0007622262,0.000762226,0.0007622263,0.000762226,0.000762226
10946305,108,0,0.6214763,0.001024714,0.001024714,0.0010247135,0.0010247136,0.0010247143,0.001024714,0.0010247142,0.0010247134,0.0010247137,0.0010247136,0.0010247133,0.36417767,0.0010247137,0.001024713,0.001024714
10969025,108,0,0.0009329122,0.9860063,0.00093291263,0.000932912,0.0009329121,0.00093291234,0.00093291234,0.00093291275,0.0009329121,0.0009329122,0.00093291246,0.0009329122,0.0009329121,0.00093291234,0.00093291246,0.0009329126
11950889,108,0,0.0006250307,0.0006250309,0.99062455,0.00062503084,0.0006250307,0.0006250309,0.0006250309,0.00062503084,0.00062503066,0.0006250307,0.0006250307,0.0006250307,0.0006250307,0.0006250309,0.0006250307,0.00062503066
12217649,108,0,0.0010081225,0.9350788,0.0010081228,0.0010081219,0.0010081222,0.05080751,0.0010081222,0.0010081223,0.0010081222,0.0010081222,0.0010081223,0.0010081223,0.0010081221,0.0010081222,0.0010081221,0.0010081223
12297500,108,0,0.0006793799,0.00067937997,0.0006793797,0.00067937945,0.00067937945,0.00067937985,0.00067937974,0.00067937945,0.0006793795,0.00067937945,0.98980933,0.0006793797,0.0006793795,0.0006793797,0.0006793793,0.00067937945
12415118,108,0,0.00085623487,0.11486171,0.19969523,0.0008562341,0.13230757,0.00085623405,0.5059432,0.00085623434,0.00085623516,0.00085623475,0.0008562345,0.00085623487,0.0008562345,0.00085623405,0.00085623394,0.03777383
