Topic,Documents
Topic_1,7
Topic_10,8
Topic_11,4
Topic_12,5
Topic_13,10
Topic_14,1
Topic_15,2
Topic_16,2
Topic_17,14
Topic_18,10
Topic_19,3
Topic_2,6
Topic_20,3
Topic_21,1
Topic_22,6
Topic_23,9
Topic_24,2
Topic_25,3
Topic_26,4
Topic_27,3
Topic_28,2
Topic_29,11
Topic_3,4
Topic_30,5
Topic_31,6
Topic_32,3
Topic_33,6
Topic_34,13
Topic_35,5
Topic_36,2
Topic_37,3
Topic_38,4
Topic_39,3
Topic_4,7
Topic_40,6
Topic_41,7
Topic_42,7
Topic_43,9
Topic_44,6
Topic_45,1
Topic_5,10
Topic_6,5
Topic_7,6
Topic_8,4
Topic_9,2
