Topic,Documents
Topic_1,2
Topic_10,2
Topic_11,21
Topic_12,2
Topic_14,3
Topic_15,1
Topic_17,7
Topic_18,2
Topic_19,7
Topic_2,2
Topic_20,2
Topic_21,1
Topic_22,6
Topic_23,3
Topic_24,4
Topic_25,2
Topic_26,7
Topic_27,3
Topic_28,1
Topic_29,3
Topic_3,3
Topic_30,5
Topic_31,6
Topic_32,4
Topic_33,2
Topic_34,3
Topic_35,4
Topic_36,7
Topic_37,3
Topic_38,5
Topic_39,3
Topic_4,3
Topic_40,2
Topic_41,7
Topic_42,4
Topic_43,1
Topic_44,2
Topic_45,3
Topic_46,2
Topic_47,2
Topic_48,2
Topic_49,4
Topic_5,3
Topic_50,4
Topic_51,1
Topic_52,3
Topic_54,2
Topic_55,6
Topic_56,7
Topic_57,1
Topic_58,3
Topic_59,1
Topic_6,7
Topic_60,3
Topic_61,2
Topic_62,2
Topic_63,5
Topic_64,8
Topic_7,14
Topic_8,2
Topic_9,8
