Topic,Documents
Topic_1,1
Topic_10,2
Topic_11,18
Topic_12,2
Topic_13,3
Topic_15,2
Topic_17,7
Topic_18,1
Topic_19,3
Topic_2,2
Topic_20,1
Topic_22,3
Topic_23,2
Topic_24,6
Topic_25,7
Topic_26,4
Topic_27,2
Topic_28,4
Topic_29,2
Topic_3,3
Topic_30,4
Topic_31,8
Topic_32,6
Topic_33,1
Topic_34,3
Topic_35,4
Topic_36,4
Topic_37,2
Topic_38,4
Topic_39,1
Topic_4,8
Topic_40,2
Topic_41,7
Topic_42,3
Topic_45,1
Topic_46,2
Topic_47,2
Topic_48,2
Topic_49,2
Topic_5,4
Topic_50,3
Topic_51,5
Topic_52,3
Topic_53,1
Topic_54,3
Topic_55,7
Topic_56,7
Topic_57,1
Topic_58,3
Topic_59,2
Topic_6,9
Topic_60,7
Topic_61,3
Topic_62,3
Topic_63,4
Topic_64,5
Topic_65,2
Topic_66,7
Topic_7,13
Topic_8,3
Topic_9,4
