Topic,Documents
Topic_1,3
Topic_10,4
Topic_11,2
Topic_12,1
Topic_13,1
Topic_14,9
Topic_15,3
Topic_16,4
Topic_17,8
Topic_18,1
Topic_19,4
Topic_2,9
Topic_20,4
Topic_21,3
Topic_22,18
Topic_25,5
Topic_26,12
Topic_27,4
Topic_28,3
Topic_29,6
Topic_3,2
Topic_30,5
Topic_31,3
Topic_33,4
Topic_34,3
Topic_35,3
Topic_36,3
Topic_37,8
Topic_38,1
Topic_39,2
Topic_4,2
Topic_40,4
Topic_41,3
Topic_42,7
Topic_43,1
Topic_44,5
Topic_45,5
Topic_46,2
Topic_47,7
Topic_48,2
Topic_49,4
Topic_5,4
Topic_50,3
Topic_53,2
Topic_54,2
Topic_56,5
Topic_57,5
Topic_59,3
Topic_6,2
Topic_60,9
Topic_61,2
Topic_62,1
Topic_63,2
Topic_64,2
Topic_65,4
Topic_7,6
Topic_8,2
Topic_9,6
