Topic,Documents
Topic_1,9
Topic_10,6
Topic_11,3
Topic_12,6
Topic_13,4
Topic_14,3
Topic_15,3
Topic_17,9
Topic_18,4
Topic_19,2
Topic_2,4
Topic_20,2
Topic_21,2
Topic_22,6
Topic_23,3
Topic_24,1
Topic_25,3
Topic_26,2
Topic_28,5
Topic_29,7
Topic_30,2
Topic_31,1
Topic_32,2
Topic_33,2
Topic_34,6
Topic_35,7
Topic_36,2
Topic_37,1
Topic_38,14
Topic_39,3
Topic_4,7
Topic_41,2
Topic_42,5
Topic_43,2
Topic_44,1
Topic_45,2
Topic_46,1
Topic_47,3
Topic_48,1
Topic_49,1
Topic_5,6
Topic_50,5
Topic_51,4
Topic_52,4
Topic_53,4
Topic_54,3
Topic_55,1
Topic_56,1
Topic_58,4
Topic_6,1
Topic_60,2
Topic_61,3
Topic_62,6
Topic_63,3
Topic_64,4
Topic_65,3
Topic_66,3
Topic_67,4
Topic_68,1
Topic_69,4
Topic_7,2
Topic_70,2
Topic_71,2
Topic_72,6
Topic_73,5
Topic_74,1
Topic_75,2
Topic_8,3
Topic_9,2
