Topic,Documents
Topic_1,3
Topic_10,2
Topic_11,3
Topic_12,2
Topic_13,6
Topic_14,8
Topic_15,3
Topic_17,9
Topic_18,4
Topic_2,6
Topic_20,2
Topic_21,2
Topic_22,7
Topic_23,1
Topic_26,8
Topic_27,1
Topic_28,1
Topic_29,3
Topic_3,1
Topic_30,3
Topic_31,2
Topic_33,1
Topic_34,2
Topic_35,2
Topic_36,4
Topic_37,7
Topic_38,2
Topic_39,2
Topic_4,4
Topic_40,3
Topic_41,3
Topic_42,3
Topic_43,1
Topic_44,4
Topic_45,11
Topic_47,7
Topic_48,6
Topic_49,1
Topic_5,2
Topic_50,4
Topic_51,2
Topic_52,3
Topic_53,1
Topic_54,2
Topic_56,2
Topic_58,2
Topic_59,2
Topic_6,3
Topic_60,4
Topic_61,4
Topic_63,2
Topic_64,1
Topic_65,2
Topic_66,3
Topic_67,2
Topic_69,1
Topic_7,6
Topic_70,1
Topic_72,2
Topic_73,1
Topic_74,2
Topic_75,3
Topic_76,2
Topic_77,3
Topic_78,2
Topic_79,6
Topic_8,1
Topic_80,4
Topic_81,3
Topic_82,2
Topic_83,5
Topic_84,1
Topic_85,2
Topic_86,9
Topic_9,3
