DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,Topic_46,Topic_47,Topic_48,Topic_49,Topic_50,Topic_51,Topic_52,Topic_53,Topic_54,Topic_55,Topic_56,Topic_57,Topic_58,Topic_59,Topic_60,Topic_61,Topic_62,Topic_63,Topic_64,Topic_65,Topic_66,Topic_67,Topic_68,Topic_69,Topic_70,Topic_71,Topic_72,Topic_73,Topic_74,Topic_75,Topic_76
8042410,108,0,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.98609924,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794,0.00018532794
8132718,108,0,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.16143243,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.74102026,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.00013998647,0.087327145
8707050,108,0,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.98298615,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544,0.00022686544
9175625,108,0,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.04032395,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.00014620634,0.9488568
9245791,108,0,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.97854674,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532,0.0002860532
9346876,108,0,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.9876634,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238,0.00016448238
9352931,108,0,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.9879643,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598,0.00016046598
9591694,108,0,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.9882501,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446,0.00015664446
10051610,108,0,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.9770516,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076,0.00030600076
10087618,108,0,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.30807263,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.29583457,0.00041120852,0.00041120852,0.36607316,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852,0.00041120852
