Topic,Documents
Topic_1,3
Topic_10,6
Topic_11,1
Topic_12,3
Topic_13,2
Topic_14,6
Topic_15,3
Topic_16,4
Topic_17,7
Topic_18,5
Topic_19,2
Topic_2,7
Topic_20,8
Topic_21,3
Topic_22,8
Topic_23,2
Topic_25,3
Topic_26,13
Topic_27,2
Topic_28,3
Topic_29,2
Topic_3,2
Topic_30,8
Topic_31,2
Topic_32,2
Topic_33,2
Topic_34,2
Topic_35,1
Topic_36,4
Topic_37,6
Topic_38,8
Topic_39,6
Topic_4,2
Topic_40,3
Topic_41,2
Topic_42,1
Topic_44,4
Topic_45,11
Topic_46,3
Topic_47,5
Topic_48,2
Topic_49,6
Topic_5,1
Topic_50,4
Topic_51,2
Topic_52,2
Topic_53,3
Topic_54,1
Topic_55,2
Topic_56,6
Topic_57,1
Topic_58,1
Topic_59,1
Topic_6,4
Topic_60,6
Topic_61,3
Topic_63,2
Topic_64,2
Topic_65,1
Topic_66,5
Topic_67,4
Topic_7,7
Topic_8,3
Topic_9,4
