Topic,Documents
Topic_1,5
Topic_10,8
Topic_11,8
Topic_12,6
Topic_13,10
Topic_14,2
Topic_15,2
Topic_17,5
Topic_18,8
Topic_19,6
Topic_2,3
Topic_20,4
Topic_22,5
Topic_23,6
Topic_24,1
Topic_25,4
Topic_26,5
Topic_27,5
Topic_28,4
Topic_29,9
Topic_3,5
Topic_30,2
Topic_31,3
Topic_32,3
Topic_33,3
Topic_34,14
Topic_35,4
Topic_37,3
Topic_38,4
Topic_39,3
Topic_4,4
Topic_40,7
Topic_41,4
Topic_42,3
Topic_43,4
Topic_44,6
Topic_45,3
Topic_47,2
Topic_48,2
Topic_49,3
Topic_5,9
Topic_50,6
Topic_51,4
Topic_52,8
Topic_53,3
Topic_54,3
Topic_6,11
Topic_7,5
Topic_8,2
Topic_9,1
