Topic,Documents
Topic_1,3
Topic_10,3
Topic_11,4
Topic_12,6
Topic_13,4
Topic_14,2
Topic_16,2
Topic_17,5
Topic_18,2
Topic_19,3
Topic_2,3
Topic_20,2
Topic_21,3
Topic_22,8
Topic_23,1
Topic_24,4
Topic_26,3
Topic_27,3
Topic_29,7
Topic_3,5
Topic_30,1
Topic_31,2
Topic_32,1
Topic_33,2
Topic_34,2
Topic_35,3
Topic_36,4
Topic_37,2
Topic_38,5
Topic_39,3
Topic_4,2
Topic_40,4
Topic_42,1
Topic_43,1
Topic_44,2
Topic_45,7
Topic_46,3
Topic_49,4
Topic_5,2
Topic_50,5
Topic_51,3
Topic_52,3
Topic_53,2
Topic_54,2
Topic_56,1
Topic_57,5
Topic_58,6
Topic_59,8
Topic_6,1
Topic_60,3
Topic_61,1
Topic_62,2
Topic_63,2
Topic_64,3
Topic_65,1
Topic_66,5
Topic_67,3
Topic_68,2
Topic_69,3
Topic_7,5
Topic_70,7
Topic_71,2
Topic_72,4
Topic_73,3
Topic_74,1
Topic_75,3
Topic_76,2
Topic_77,4
Topic_78,11
Topic_79,1
Topic_80,3
Topic_82,3
Topic_9,6
