Topic,Documents
Topic_10,3
Topic_11,1
Topic_12,2
Topic_13,4
Topic_14,4
Topic_15,1
Topic_16,1
Topic_17,1
Topic_18,3
Topic_19,1
Topic_2,8
Topic_20,6
Topic_23,4
Topic_24,4
Topic_26,10
Topic_27,4
Topic_29,4
Topic_3,2
Topic_30,10
Topic_32,4
Topic_33,2
Topic_34,3
Topic_36,3
Topic_37,3
Topic_38,6
Topic_39,1
Topic_4,2
Topic_40,2
Topic_41,5
Topic_42,3
Topic_43,2
Topic_44,1
Topic_45,2
Topic_46,3
Topic_47,3
Topic_48,2
Topic_49,2
Topic_5,4
Topic_50,6
Topic_52,4
Topic_53,5
Topic_54,5
Topic_55,1
Topic_56,3
Topic_57,1
Topic_58,1
Topic_59,2
Topic_6,1
Topic_60,2
Topic_61,2
Topic_63,3
Topic_64,2
Topic_65,1
Topic_66,3
Topic_68,1
Topic_69,4
Topic_7,1
Topic_70,8
Topic_71,1
Topic_72,3
Topic_74,7
Topic_75,5
Topic_76,2
Topic_77,3
Topic_78,1
Topic_79,5
Topic_8,7
Topic_80,1
Topic_81,3
Topic_9,20
