Topic,Documents
Topic_1,2
Topic_10,2
Topic_11,21
Topic_12,5
Topic_13,2
Topic_14,1
Topic_15,2
Topic_17,10
Topic_18,3
Topic_19,4
Topic_2,2
Topic_20,5
Topic_21,1
Topic_22,4
Topic_23,11
Topic_24,5
Topic_25,11
Topic_26,9
Topic_27,2
Topic_28,2
Topic_29,2
Topic_3,3
Topic_30,6
Topic_31,8
Topic_32,7
Topic_33,2
Topic_34,4
Topic_35,5
Topic_36,9
Topic_37,5
Topic_38,5
Topic_39,3
Topic_4,4
Topic_40,8
Topic_41,7
Topic_42,4
Topic_44,4
Topic_45,1
Topic_46,1
Topic_47,5
Topic_5,4
Topic_6,8
Topic_7,24
Topic_8,2
Topic_9,5
