DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25
8132718,108,0,0.0004124079,0.0004124079,0.44375676,0.54675764,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079,0.0004124079
8673465,108,0,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.98945016,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253,0.00043957253
8707050,108,0,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.000689684,0.98344755,0.000689684,0.000689684,0.000689684
9175625,108,0,0.00047060804,0.00047060804,0.98870516,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804,0.00047060804
9245791,108,0,0.00075474166,0.00075474166,0.9818858,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166,0.00075474166
9591694,108,0,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.00042554684,0.98978686,0.00042554684,0.00042554684,0.00042554684
10051610,108,0,0.001000064,0.001000064,0.35254812,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.001000064,0.6244503,0.001000064,0.001000064
10087618,108,0,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.21545307,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.0012500578,0.7557955,0.0012500578,0.0012500578,0.0012500578
10100328,108,0,0.9858815,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568,0.0005882568
10320929,108,0,0.0008511618,0.0008511618,0.3647071,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.61571574,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618,0.0008511618
