Topic,Documents
Topic_1,4
Topic_10,7
Topic_11,3
Topic_12,8
Topic_13,3
Topic_14,1
Topic_15,1
Topic_17,5
Topic_18,11
Topic_19,3
Topic_2,4
Topic_20,1
Topic_22,5
Topic_23,3
Topic_24,1
Topic_25,6
Topic_26,2
Topic_27,2
Topic_28,1
Topic_29,7
Topic_3,2
Topic_30,4
Topic_31,2
Topic_32,3
Topic_33,3
Topic_34,7
Topic_35,5
Topic_36,2
Topic_37,1
Topic_39,4
Topic_4,6
Topic_40,3
Topic_41,4
Topic_42,3
Topic_43,4
Topic_44,3
Topic_45,2
Topic_46,1
Topic_47,1
Topic_48,3
Topic_49,3
Topic_5,9
Topic_50,3
Topic_51,5
Topic_52,14
Topic_53,8
Topic_54,3
Topic_55,4
Topic_56,5
Topic_57,2
Topic_58,6
Topic_59,2
Topic_6,1
Topic_60,2
Topic_61,2
Topic_62,5
Topic_63,8
Topic_64,1
Topic_65,3
Topic_66,4
Topic_7,3
Topic_8,5
Topic_9,1
