Topic,Documents
Topic_10,1
Topic_11,8
Topic_12,1
Topic_13,1
Topic_14,1
Topic_17,6
Topic_18,3
Topic_19,3
Topic_2,3
Topic_21,4
Topic_22,1
Topic_23,1
Topic_24,4
Topic_25,2
Topic_26,5
Topic_27,2
Topic_28,2
Topic_29,3
Topic_3,4
Topic_30,2
Topic_31,5
Topic_32,1
Topic_33,3
Topic_34,1
Topic_35,1
Topic_36,3
Topic_37,4
Topic_38,2
Topic_4,4
Topic_40,2
Topic_41,6
Topic_42,2
Topic_43,1
Topic_44,3
Topic_45,1
Topic_46,2
Topic_47,4
Topic_48,1
Topic_49,3
Topic_5,1
Topic_50,2
Topic_51,2
Topic_52,4
Topic_54,2
Topic_55,4
Topic_56,4
Topic_58,5
Topic_59,2
Topic_6,6
Topic_60,3
Topic_61,3
Topic_62,1
Topic_63,5
Topic_64,5
Topic_65,2
Topic_67,3
Topic_68,3
Topic_69,3
Topic_7,9
Topic_70,3
Topic_71,2
Topic_72,2
Topic_73,2
Topic_74,4
Topic_75,3
Topic_76,3
Topic_77,5
Topic_78,1
Topic_79,2
Topic_8,3
Topic_81,2
Topic_83,2
Topic_86,3
Topic_87,2
Topic_88,1
Topic_9,2
Topic_90,2
Topic_91,2
Topic_92,2
Topic_93,2
Topic_94,4
Topic_95,4
Topic_96,3
Topic_97,2
Topic_98,2
