Topic,Documents
Topic_1,7
Topic_10,4
Topic_11,4
Topic_12,6
Topic_13,7
Topic_14,4
Topic_15,2
Topic_16,5
Topic_17,6
Topic_18,2
Topic_19,5
Topic_2,2
Topic_20,1
Topic_21,2
Topic_22,3
Topic_23,2
Topic_24,3
Topic_25,2
Topic_26,3
Topic_27,4
Topic_28,2
Topic_29,9
Topic_3,11
Topic_30,5
Topic_31,8
Topic_32,2
Topic_33,4
Topic_34,2
Topic_35,8
Topic_36,19
Topic_37,2
Topic_38,9
Topic_39,4
Topic_4,4
Topic_40,19
Topic_41,2
Topic_42,6
Topic_43,3
Topic_44,3
Topic_45,17
Topic_46,4
Topic_47,3
Topic_5,5
Topic_6,1
Topic_7,6
Topic_8,1
Topic_9,7
