Topic,Documents
Topic_1,6
Topic_10,4
Topic_11,2
Topic_12,6
Topic_13,4
Topic_15,2
Topic_16,4
Topic_17,7
Topic_18,5
Topic_19,4
Topic_2,4
Topic_20,3
Topic_21,3
Topic_22,10
Topic_23,1
Topic_24,3
Topic_25,2
Topic_26,1
Topic_27,5
Topic_28,1
Topic_29,11
Topic_3,8
Topic_30,2
Topic_31,5
Topic_32,2
Topic_33,2
Topic_34,2
Topic_35,11
Topic_36,9
Topic_37,3
Topic_38,5
Topic_39,1
Topic_4,2
Topic_40,6
Topic_41,1
Topic_42,2
Topic_43,6
Topic_44,2
Topic_45,12
Topic_46,3
Topic_47,2
Topic_49,6
Topic_5,5
Topic_50,3
Topic_51,3
Topic_52,4
Topic_53,1
Topic_54,2
Topic_55,2
Topic_56,4
Topic_57,7
Topic_58,5
Topic_59,8
Topic_6,3
Topic_60,2
Topic_62,1
Topic_7,5
Topic_8,2
Topic_9,3
