Topic,Documents
Topic_1,3
Topic_10,12
Topic_11,3
Topic_12,1
Topic_14,5
Topic_15,5
Topic_16,3
Topic_17,11
Topic_18,3
Topic_19,2
Topic_2,5
Topic_20,2
Topic_21,2
Topic_22,9
Topic_23,1
Topic_24,1
Topic_25,2
Topic_26,3
Topic_27,3
Topic_28,2
Topic_29,3
Topic_3,3
Topic_30,3
Topic_31,2
Topic_32,2
Topic_33,5
Topic_34,2
Topic_35,2
Topic_36,3
Topic_37,6
Topic_38,3
Topic_39,2
Topic_4,2
Topic_40,3
Topic_41,5
Topic_42,3
Topic_44,1
Topic_45,7
Topic_46,1
Topic_47,6
Topic_48,4
Topic_5,3
Topic_50,6
Topic_52,2
Topic_53,3
Topic_54,1
Topic_56,4
Topic_57,1
Topic_58,1
Topic_59,2
Topic_6,3
Topic_60,4
Topic_61,3
Topic_62,1
Topic_64,2
Topic_65,5
Topic_66,2
Topic_67,4
Topic_68,4
Topic_69,1
Topic_7,6
Topic_70,2
Topic_72,3
Topic_73,1
Topic_75,1
Topic_76,1
Topic_77,6
Topic_78,3
Topic_79,5
Topic_80,4
Topic_81,1
Topic_82,2
Topic_83,3
Topic_84,1
Topic_9,3
