DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,Topic_46,Topic_47,Topic_48,Topic_49,Topic_50,Topic_51,Topic_52,Topic_53,Topic_54,Topic_55,Topic_56,Topic_57,Topic_58,Topic_59,Topic_60,Topic_61,Topic_62,Topic_63,Topic_64,Topic_65,Topic_66,Topic_67,Topic_68,Topic_69,Topic_70
8042410,108,0,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.98611647,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726,0.00020121726
8132718,108,0,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.98904836,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833,0.00015873833
8673465,108,0,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.98892546,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903,0.00016051903
8707050,108,0,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.9827062,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218,0.00025063218
9346876,108,0,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.8594015,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.12875286,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259,0.0001742259
9352931,108,0,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.9878311,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234,0.00017637234
9591694,108,0,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.6082007,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.38076013,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536,0.00016234536
10051610,108,0,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.20326121,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.7741456,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616,0.00033224616
10087618,108,0,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.9701287,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526,0.00043291526
10100328,108,0,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.5273912,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.29457593,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.1641612,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223,0.00020705223
