Topic,Documents
Topic_1,5
Topic_10,2
Topic_11,3
Topic_12,1
Topic_13,2
Topic_14,6
Topic_15,2
Topic_16,5
Topic_17,9
Topic_18,2
Topic_19,1
Topic_2,5
Topic_20,5
Topic_21,1
Topic_22,13
Topic_23,1
Topic_24,2
Topic_25,3
Topic_26,3
Topic_27,1
Topic_28,4
Topic_29,2
Topic_3,1
Topic_30,9
Topic_31,6
Topic_32,2
Topic_33,2
Topic_34,1
Topic_35,1
Topic_36,1
Topic_37,7
Topic_38,2
Topic_39,5
Topic_4,4
Topic_40,5
Topic_41,3
Topic_42,7
Topic_44,2
Topic_45,2
Topic_46,2
Topic_47,6
Topic_48,5
Topic_49,2
Topic_5,1
Topic_50,4
Topic_51,2
Topic_52,2
Topic_53,3
Topic_54,5
Topic_55,1
Topic_56,5
Topic_59,8
Topic_6,3
Topic_60,3
Topic_61,3
Topic_62,1
Topic_63,1
Topic_64,2
Topic_65,4
Topic_66,3
Topic_67,4
Topic_68,4
Topic_69,2
Topic_7,12
Topic_70,4
Topic_71,1
Topic_72,3
Topic_73,1
Topic_8,1
Topic_9,4
