Topic,Documents
Topic_1,1
Topic_10,3
Topic_11,10
Topic_12,1
Topic_14,5
Topic_17,6
Topic_18,5
Topic_19,4
Topic_20,2
Topic_21,2
Topic_22,6
Topic_23,6
Topic_25,11
Topic_26,9
Topic_27,5
Topic_28,1
Topic_29,1
Topic_3,3
Topic_30,1
Topic_31,5
Topic_32,4
Topic_33,1
Topic_34,3
Topic_35,4
Topic_36,12
Topic_37,3
Topic_38,2
Topic_39,2
Topic_4,4
Topic_40,2
Topic_41,6
Topic_42,4
Topic_45,2
Topic_46,2
Topic_47,1
Topic_48,1
Topic_49,4
Topic_5,2
Topic_50,5
Topic_51,3
Topic_52,1
Topic_53,2
Topic_54,2
Topic_55,4
Topic_56,3
Topic_57,2
Topic_58,6
Topic_59,2
Topic_6,2
Topic_60,2
Topic_61,2
Topic_62,2
Topic_63,5
Topic_64,2
Topic_65,1
Topic_67,1
Topic_68,2
Topic_69,5
Topic_7,6
Topic_70,3
Topic_71,1
Topic_72,3
Topic_73,1
Topic_74,5
Topic_75,2
Topic_76,5
Topic_77,5
Topic_78,1
Topic_79,1
Topic_8,3
Topic_80,1
Topic_9,3
