ExperimentID,Fold,Topics,LogPerplexityTest,PerplexityTest,DeltaLogPerplexity,RPC
F3_K055,3,55,-11.284129189758232,2493.798509687144,-0.02442197709551408,0.02442197709551408
F3_K056,3,56,-11.34135846301417,2594.711573366976,-0.057229273255938296,0.057229273255938296
F3_K057,3,57,-11.568268229197425,3036.6569658788994,-0.22690976618325465,0.22690976618325465
F3_K058,3,58,-11.384231329178832,2672.9762973406387,0.18403690001859374,0.18403690001859374
F3_K059,3,59,-11.485055956939231,2866.4630303492336,-0.10082462776039947,0.10082462776039947
F3_K060,3,60,-11.484994245959658,2866.3404206130886,6.171097957263783e-05,6.171097957263783e-05
F3_K061,3,61,-11.656494403829669,3228.1555992814283,-0.17150015787001038,0.17150015787001038
F3_K062,3,62,-11.595659887382944,3094.8631190780206,0.06083451644672522,0.06083451644672522
F3_K063,3,63,-11.66972832734471,3257.903886630382,-0.07406843996176704,0.07406843996176704
F3_K064,3,64,-11.572085621816203,3044.702645350079,0.09764270552850718,0.09764270552850718
F3_K065,3,65,-11.703856541271364,3335.8912474443778,-0.1317709194551604,0.1317709194551604
F3_K066,3,66,-11.7820335114249,3521.644368688167,-0.07817697015353708,0.07817697015353708
F3_K067,3,67,-11.918944029578425,3872.2168417794865,-0.13691051815352395,0.13691051815352395
F3_K068,3,68,-12.10320819958602,4399.75721191218,-0.18426417000759443,0.18426417000759443
F3_K069,3,69,-12.015718521833634,4140.87093642205,0.08748967775238548,0.08748967775238548
F3_K070,3,70,-11.995848087122804,4084.2291218083265,0.019870434710830054,0.019870434710830054
F3_K071,3,71,-12.191426873850887,4677.191793141039,-0.19557878672808293,0.19557878672808293
F3_K072,3,72,-12.132800973931698,4490.9376397002625,0.058625899919189095,0.058625899919189095
F3_K073,3,73,-12.246908761983407,4860.566524575859,-0.11410778805170985,0.11410778805170985
F3_K074,3,74,-12.303558124549532,5055.219864081791,-0.05664936256612485,0.05664936256612485
F3_K075,3,75,-12.206782124205606,4727.2391086239095,0.09677600034392597,0.09677600034392597
F3_K076,3,76,-12.232760800637177,4813.133755719423,-0.02597867643157059,0.02597867643157059
F3_K077,3,77,-12.383032794206878,5341.513229308882,-0.15027199356970122,0.15027199356970122
F3_K078,3,78,-12.624931279653692,6316.59465336648,-0.24189848544681425,0.24189848544681425
F3_K079,3,79,-12.460417989135111,5635.851914630044,0.1645132905185811,0.1645132905185811
F3_K080,3,80,-12.434792160679368,5536.629089905827,0.025625828455742905,0.025625828455742905
F3_K081,3,81,-12.740877352205619,6845.201771798717,-0.30608519152625036,0.30608519152625036
F3_K082,3,82,-12.712069086562826,6709.869937764404,0.02880826564279282,0.02880826564279282
F3_K083,3,83,-12.648847092228038,6422.178692467103,0.06322199433478737,0.06322199433478737
F3_K084,3,84,-12.655245589255,6450.724954276928,-0.0063984970269608255,0.0063984970269608255
F3_K085,3,85,-12.775866483161302,7013.245343413203,-0.12062089390630248,0.12062089390630248
F3_K086,3,86,-12.599285357766705,6205.30048543972,0.17658112539459658,0.17658112539459658
F3_K087,3,87,-12.76918374901951,6980.834284994738,-0.16989839125280426,0.16989839125280426
F3_K088,3,88,-12.7581933459433,6927.856567892985,0.010990403076210242,0.010990403076210242
F3_K089,3,89,-12.87919598265235,7533.9773603825815,-0.12100263670905065,0.12100263670905065
F3_K090,3,90,-12.931981363884507,7814.735690031172,-0.052785381232157036,0.052785381232157036
F3_K091,3,91,-12.768329887482414,6976.7038886485425,0.16365147640209265,0.16365147640209265
F3_K092,3,92,-12.795621988314107,7109.941569644921,-0.027292100831692423,0.027292100831692423
F3_K093,3,93,-12.983230939488706,8097.332134247024,-0.18760895117459953,0.18760895117459953
F3_K094,3,94,-13.13679708289628,9006.7885885012,-0.15356614340757346,0.15356614340757346
F3_K095,3,95,-13.11286527771439,8858.613985441456,0.023931805181890198,0.023931805181890198
F3_K096,3,96,-13.149208155223423,9084.605524770048,-0.036342877509033755,0.036342877509033755
F3_K097,3,97,-13.219478203746567,9538.047180238229,-0.07027004852314356,0.07027004852314356
F3_K098,3,98,-13.178213010732383,9269.096540212342,0.04126519301418341,0.04126519301418341
F3_K099,3,99,-13.18504526119421,9313.09681687154,-0.006832250461826561,0.006832250461826561
F3_K100,3,100,-13.337078469439094,10348.101355974766,-0.15203320824488387,0.15203320824488387
F4_K002,4,2,-6.655874233843346,100.8365066634539,,
F4_K003,4,3,-6.809831098425417,112.19239678613651,-0.1539568645820708,0.1539568645820708
F4_K004,4,4,-6.872786538937376,117.19657018185893,-0.062955440511959,0.062955440511959
F4_K005,4,5,-7.066039884757531,133.9954204799031,-0.19325334582015508,0.19325334582015508
