ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI
F1_K002,1,2,-4.680315772626732,0.3083018538502158,-4.338848768250638,-0.1289711383737779
F1_K003,1,3,-3.1032188918632877,0.3829568767235731,-2.588815640859085,-0.045407739234127546
F1_K004,1,4,-2.8272980582438105,0.4426286959871166,-2.9793627174445505,-0.05581306666100862
F1_K005,1,5,-2.914309458022738,0.4303529417091683,-2.6375283682916004,-0.026695586910762154
F1_K006,1,6,-2.8401084670980783,0.4627510865913113,-2.580815545946647,-0.02114037057652041
F1_K007,1,7,-3.0692598069497676,0.46576176959809895,-2.811871732032672,-0.036424031781584106
F1_K008,1,8,-2.600787027784471,0.48534419716219374,-2.5579561479883384,-0.022518116016380464
F1_K009,1,9,-2.8229194148879695,0.4951841634005485,-2.4427451547061376,-0.016086830146983
F1_K010,1,10,-3.4017629317154885,0.47212612119490804,-3.2649923551826854,-0.04729636685961457
F1_K011,1,11,-3.0671277938849077,0.5369342451245162,-2.83864465998999,-0.027507623916740543
F1_K012,1,12,-3.49846453349603,0.452875958163483,-3.389500822054915,-0.05989953937031591
F1_K013,1,13,-2.4326403472674825,0.5366615615998456,-2.5531942482371237,-0.024897706667011025
F1_K014,1,14,-3.494605965494749,0.47476884658745294,-3.4125296895737827,-0.059113113778122665
F1_K015,1,15,-3.631495340310819,0.4604240194910696,-3.825624160135648,-0.0735012468237107
F1_K016,1,16,-3.9064003578505404,0.4683017966392334,-3.742606000461252,-0.06911291254978946
F1_K017,1,17,-3.2033320414351856,0.49123629239065375,-3.646378803703217,-0.06711670730181873
F1_K018,1,18,-3.142094023922999,0.48175246297225205,-3.6961515646783476,-0.0723975488686862
F1_K019,1,19,-4.061964293044593,0.43689128570657754,-4.284360938751319,-0.09434115834827929
F1_K020,1,20,-3.3408435407799026,0.45022671916506046,-3.6402391613723473,-0.07180581572021924
F1_K021,1,21,-3.629139200502113,0.4860366625857561,-3.8279107741160976,-0.07498164128641349
F1_K022,1,22,-3.3435950056743042,0.5075460150358313,-3.595592433187494,-0.06149722602655074
F1_K023,1,23,-2.7746663778323724,0.5057696093807122,-3.233686968362006,-0.050950806514805685
F1_K024,1,24,-3.182122570934714,0.5266046951801452,-3.392976912095149,-0.0507790256595493
F1_K025,1,25,-3.2672773105622923,0.48014589509574956,-3.8136281444812936,-0.07201828931149783
F1_K026,1,26,-3.499488292302881,0.48627325887409945,-4.119446203649592,-0.08483632337611781
F1_K027,1,27,-3.247589874157163,0.4744334513788179,-3.716488674306811,-0.07400814777180599
F1_K028,1,28,-3.4436598967840033,0.4781507475325991,-3.9793685118761917,-0.0785785963399636
F1_K029,1,29,-3.658163079731951,0.44339131984997676,-4.3589605460541465,-0.0993283609514337
