Topic,Documents
Topic_10,3
Topic_11,2
Topic_12,1
Topic_13,3
Topic_14,4
Topic_15,1
Topic_16,2
Topic_17,4
Topic_18,4
Topic_19,3
Topic_2,7
Topic_20,6
Topic_22,6
Topic_23,2
Topic_25,1
Topic_26,3
Topic_27,2
Topic_28,3
Topic_29,2
Topic_3,2
Topic_30,4
Topic_31,6
Topic_32,5
Topic_33,4
Topic_34,1
Topic_35,3
Topic_36,1
Topic_37,3
Topic_38,4
Topic_39,3
Topic_4,3
Topic_40,3
Topic_41,1
Topic_42,5
Topic_43,2
Topic_44,2
Topic_45,7
Topic_46,1
Topic_47,5
Topic_49,1
Topic_5,3
Topic_50,1
Topic_51,1
Topic_52,1
Topic_53,4
Topic_54,1
Topic_56,4
Topic_57,2
Topic_58,2
Topic_59,2
Topic_6,1
Topic_60,2
Topic_61,5
Topic_64,5
Topic_65,1
Topic_66,4
Topic_67,3
Topic_68,1
Topic_7,8
Topic_70,1
Topic_71,2
Topic_72,1
Topic_73,1
Topic_74,1
Topic_75,3
Topic_76,1
Topic_77,2
Topic_78,5
Topic_79,5
Topic_8,1
Topic_80,2
Topic_82,2
Topic_83,4
Topic_84,2
Topic_85,1
Topic_86,9
Topic_87,1
Topic_89,5
Topic_9,2
Topic_90,3
Topic_91,2
Topic_92,2
Topic_94,2
Topic_96,4
