Topic,Documents
Topic_1,2
Topic_10,7
Topic_11,2
Topic_12,3
Topic_13,3
Topic_14,13
Topic_15,2
Topic_16,11
Topic_17,6
Topic_18,2
Topic_19,5
Topic_2,10
Topic_20,3
Topic_21,1
Topic_22,18
Topic_23,2
Topic_24,4
Topic_25,5
Topic_26,3
Topic_27,6
Topic_28,4
Topic_29,2
Topic_3,3
Topic_30,7
Topic_31,5
Topic_32,3
Topic_33,2
Topic_34,3
Topic_35,1
Topic_36,2
Topic_37,7
Topic_38,3
Topic_39,5
Topic_4,5
Topic_40,1
Topic_41,4
Topic_42,3
Topic_44,9
Topic_45,7
Topic_46,3
Topic_47,14
Topic_48,5
Topic_49,2
Topic_5,2
Topic_50,3
Topic_52,1
Topic_53,3
Topic_54,6
Topic_6,4
Topic_7,7
Topic_8,2
Topic_9,4
