Topic,Documents
Topic_1,6
Topic_10,3
Topic_11,1
Topic_12,4
Topic_13,5
Topic_14,1
Topic_15,1
Topic_16,1
Topic_17,2
Topic_19,5
Topic_2,2
Topic_20,5
Topic_21,2
Topic_22,3
Topic_23,4
Topic_24,5
Topic_26,6
Topic_27,2
Topic_29,3
Topic_3,6
Topic_31,4
Topic_32,6
Topic_33,2
Topic_34,1
Topic_35,4
Topic_36,7
Topic_37,2
Topic_38,5
Topic_39,1
Topic_4,1
Topic_40,5
Topic_42,2
Topic_43,2
Topic_44,5
Topic_45,5
Topic_46,6
Topic_47,4
Topic_48,3
Topic_49,9
Topic_5,11
Topic_50,1
Topic_51,1
Topic_52,7
Topic_53,1
Topic_54,4
Topic_55,3
Topic_56,4
Topic_57,8
Topic_58,7
Topic_59,12
Topic_60,6
Topic_61,2
Topic_62,3
Topic_63,6
Topic_64,1
Topic_65,2
Topic_66,2
Topic_67,7
Topic_7,3
Topic_8,1
Topic_9,7
