Topic,Documents
Topic_1,2
Topic_10,3
Topic_12,4
Topic_13,1
Topic_14,8
Topic_15,3
Topic_16,3
Topic_17,7
Topic_18,7
Topic_19,3
Topic_2,6
Topic_20,2
Topic_21,2
Topic_22,11
Topic_23,2
Topic_24,6
Topic_25,5
Topic_26,1
Topic_27,2
Topic_28,2
Topic_29,4
Topic_30,5
Topic_31,4
Topic_32,2
Topic_33,4
Topic_34,1
Topic_35,3
Topic_36,2
Topic_37,5
Topic_38,2
Topic_39,4
Topic_40,2
Topic_41,3
Topic_42,7
Topic_43,2
Topic_44,3
Topic_45,7
Topic_46,2
Topic_47,5
Topic_48,2
Topic_49,2
Topic_5,1
Topic_50,2
Topic_51,4
Topic_52,3
Topic_53,5
Topic_54,2
Topic_56,2
Topic_57,1
Topic_58,1
Topic_59,5
Topic_60,3
Topic_61,4
Topic_63,3
Topic_64,1
Topic_65,2
Topic_66,1
Topic_67,3
Topic_68,2
Topic_7,10
Topic_70,5
Topic_72,2
Topic_74,6
Topic_75,2
Topic_76,7
Topic_77,7
Topic_8,2
Topic_9,3
