DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,Topic_46,Topic_47,Topic_48,Topic_49,Topic_50,Topic_51,Topic_52,Topic_53,Topic_54,Topic_55,Topic_56,Topic_57,Topic_58,Topic_59,Topic_60,Topic_61,Topic_62,Topic_63,Topic_64,Topic_65
8042410,108,0,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.9861328,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106,0.00021669106
8132718,108,0,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.98906004,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429,0.0001709429
8673465,108,0,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.9889377,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727,0.00017286727
8707050,108,0,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.9827254,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916,0.000269916
9346876,108,0,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.9879932,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329,0.00018762329
9352931,108,0,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.98784435,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207,0.00018994207
9591694,108,0,0.0001748284,0.0001748284,0.0001748284,0.98881364,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284,0.0001748284
10051610,108,0,0.00035780924,0.00035780924,0.16905163,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.60138285,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.20738123,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924,0.00035780924
10087618,108,0,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.9701623,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432,0.00046621432
10100328,108,0,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.33595437,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.51812583,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.13209546,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201,0.00022298201
