Topic,Documents
Topic_1,3
Topic_10,5
Topic_11,9
Topic_12,9
Topic_13,7
Topic_14,2
Topic_15,1
Topic_16,1
Topic_17,4
Topic_18,6
Topic_2,2
Topic_20,3
Topic_22,6
Topic_23,6
Topic_25,7
Topic_26,2
Topic_27,2
Topic_28,2
Topic_29,5
Topic_3,1
Topic_30,2
Topic_31,2
Topic_32,2
Topic_33,5
Topic_34,4
Topic_35,5
Topic_37,3
Topic_38,5
Topic_39,5
Topic_4,8
Topic_40,3
Topic_41,2
Topic_42,2
Topic_43,4
Topic_44,5
Topic_47,1
Topic_48,2
Topic_49,2
Topic_5,4
Topic_50,2
Topic_51,2
Topic_52,3
Topic_53,1
Topic_54,3
Topic_55,3
Topic_56,2
Topic_57,1
Topic_58,2
Topic_59,1
Topic_6,3
Topic_60,2
Topic_61,2
Topic_62,4
Topic_63,4
Topic_64,3
Topic_66,3
Topic_67,4
Topic_68,1
Topic_69,5
Topic_7,1
Topic_70,3
Topic_71,5
Topic_73,3
Topic_74,1
Topic_75,2
Topic_76,7
Topic_77,1
Topic_78,1
Topic_79,7
Topic_8,1
Topic_80,3
Topic_81,1
Topic_82,3
Topic_9,1
