Topic,Documents
Topic_1,2
Topic_10,7
Topic_100,3
Topic_11,4
Topic_12,2
Topic_13,1
Topic_14,3
Topic_15,3
Topic_16,1
Topic_17,14
Topic_18,1
Topic_19,3
Topic_2,3
Topic_21,2
Topic_22,10
Topic_23,2
Topic_24,1
Topic_25,3
Topic_26,4
Topic_27,2
Topic_28,3
Topic_29,3
Topic_3,2
Topic_30,2
Topic_31,1
Topic_32,3
Topic_33,4
Topic_34,1
Topic_35,2
Topic_36,4
Topic_37,6
Topic_38,2
Topic_39,1
Topic_4,3
Topic_41,2
Topic_42,3
Topic_44,2
Topic_45,3
Topic_46,2
Topic_47,5
Topic_48,2
Topic_49,2
Topic_5,2
Topic_50,3
Topic_52,2
Topic_54,4
Topic_55,1
Topic_57,2
Topic_59,3
Topic_6,2
Topic_60,3
Topic_61,4
Topic_63,1
Topic_64,1
Topic_66,1
Topic_67,3
Topic_69,2
Topic_7,5
Topic_70,2
Topic_71,5
Topic_74,1
Topic_75,4
Topic_77,3
Topic_78,5
Topic_79,3
Topic_8,2
Topic_80,5
Topic_81,2
Topic_82,3
Topic_83,4
Topic_85,1
Topic_86,8
Topic_88,1
Topic_89,2
Topic_9,5
Topic_90,4
Topic_91,3
Topic_92,1
Topic_94,3
Topic_95,1
Topic_96,2
Topic_97,1
Topic_98,1
