DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14
8042410,108,0,0.0010823857,0.0010823868,0.2007739,0.0010823905,0.07902948,0.0010823873,0.0010823908,0.0010823858,0.0010823845,0.0010823861,0.7082906,0.0010823841,0.0010823855,0.0010823869
8132718,108,0,0.00075992435,0.9901213,0.00075992686,0.00075992395,0.00075992243,0.00075992546,0.0007599248,0.00075992354,0.00075992383,0.0007599229,0.0007599245,0.0007599227,0.0007599242,0.0007599227
8673465,108,0,0.21316837,0.0008117903,0.77709043,0.0008117914,0.0008117902,0.0008117953,0.00081179064,0.0008117903,0.0008117905,0.0008117905,0.0008117903,0.00081179495,0.00081179175,0.000811794
8707050,108,0,0.0012316637,0.0012316582,0.70128006,0.001231659,0.0012316566,0.0012316601,0.001231657,0.0012316605,0.0012316637,0.0012316561,0.0012316576,0.0012316626,0.2839398,0.001231658
9175625,108,0,0.38737985,0.0008117958,0.602879,0.0008117955,0.0008117919,0.0008117925,0.000811792,0.00081179367,0.000811791,0.0008117922,0.00081179215,0.0008117908,0.00081179256,0.0008117913
9245791,108,0,0.0016235284,0.0016235283,0.4003021,0.0016235228,0.001623521,0.0016235247,0.0016235299,0.58021545,0.001623525,0.0016235228,0.0016235271,0.0016235246,0.0016235288,0.0016235219
9346876,108,0,0.00084042543,0.00084042666,0.843607,0.000840432,0.0008404235,0.000840427,0.0008404261,0.0008404249,0.00084042543,0.0008404263,0.00084042526,0.00084042404,0.14630815,0.000840425
9352931,108,0,0.00090423017,0.0009042311,0.9882453,0.0009042295,0.00090423186,0.0009042323,0.00090423104,0.00090423046,0.000904232,0.0009042303,0.000904233,0.00090423104,0.00090423424,0.0009042299
9591694,108,0,0.0007681157,0.0007681195,0.8614109,0.12937197,0.0007681138,0.00076811475,0.0007681148,0.0007681144,0.0007681154,0.00076811545,0.0007681158,0.0007681174,0.0007681172,0.00076811656
10100328,108,0,0.0010061327,0.0010061329,0.8330635,0.0010061316,0.0010061365,0.0010061315,0.001006135,0.0010061314,0.0010061356,0.0010061357,0.0010061326,0.0010061366,0.15486275,0.0010061322
10531012,108,0,0.00079370185,0.00079370366,0.00079370633,0.00079370383,0.0007937015,0.000793702,0.000793702,0.0007937024,0.000793702,0.0007937011,0.00079370395,0.00079370127,0.9896819,0.0007937012
10700148,108,0,0.17391513,0.002164766,0.80010736,0.0021647713,0.002164775,0.002164765,0.002164752,0.002164762,0.0021647566,0.0021647727,0.002164758,0.0021647532,0.0021647734,0.0021647564
10725388,108,0,0.000776451,0.0007764515,0.000776454,0.00077645597,0.00077644945,0.00077645027,0.00077645143,0.0007764505,0.0007764525,0.0007764508,0.0007764504,0.0007764515,0.98990613,0.0007764511
10969025,108,0,0.0010204862,0.0010204866,0.0010204979,0.0010204874,0.001020486,0.0010204846,0.9867339,0.0010204854,0.001020484,0.0010204844,0.0010204844,0.0010204844,0.0010204867,0.0010204844
12217649,108,0,0.0010823164,0.0010823163,0.0010823208,0.001082319,0.001082315,0.0010823167,0.0010823176,0.0010823155,0.0010823159,0.0010823169,0.0010823155,0.0010823153,0.9859299,0.001082316
12297500,108,0,0.00075195247,0.00075195025,0.686498,0.0007519496,0.0007519513,0.00075195084,0.0007519509,0.0007519538,0.0007519509,0.0007519525,0.0007519516,0.0007519554,0.30447882,0.00075194985
12415118,108,0,0.00092773524,0.0009277392,0.9879397,0.00092773815,0.00092773535,0.00092774053,0.00092773733,0.0009277338,0.0009277367,0.000927737,0.0009277358,0.0009277383,0.0009277354,0.0009277362
