Topic,Documents
Topic_1,1
Topic_10,3
Topic_11,2
Topic_12,1
Topic_13,2
Topic_14,2
Topic_15,1
Topic_16,2
Topic_17,2
Topic_18,1
Topic_19,1
Topic_2,14
Topic_20,1
Topic_21,3
Topic_22,1
Topic_23,2
Topic_24,3
Topic_25,1
Topic_26,7
Topic_27,4
Topic_29,2
Topic_3,1
Topic_30,7
Topic_31,1
Topic_32,5
Topic_33,4
Topic_34,4
Topic_35,2
Topic_36,3
Topic_37,2
Topic_38,4
Topic_39,3
Topic_4,2
Topic_41,1
Topic_42,5
Topic_43,1
Topic_45,4
Topic_46,7
Topic_47,1
Topic_48,5
Topic_49,3
Topic_5,3
Topic_50,8
Topic_51,2
Topic_52,3
Topic_53,2
Topic_54,5
Topic_55,1
Topic_56,1
Topic_58,1
Topic_59,3
Topic_6,3
Topic_60,1
Topic_61,2
Topic_62,1
Topic_63,2
Topic_64,1
Topic_65,1
Topic_66,2
Topic_67,5
Topic_68,3
Topic_69,4
Topic_70,4
Topic_72,2
Topic_74,8
Topic_75,3
Topic_76,1
Topic_77,6
Topic_78,3
Topic_79,9
Topic_8,8
Topic_9,21
