Topic,Documents
Topic_1,1
Topic_10,6
Topic_11,8
Topic_12,3
Topic_16,4
Topic_17,2
Topic_18,2
Topic_19,2
Topic_2,2
Topic_20,4
Topic_21,3
Topic_22,9
Topic_23,7
Topic_25,2
Topic_26,2
Topic_27,5
Topic_28,1
Topic_29,4
Topic_3,2
Topic_30,1
Topic_31,4
Topic_32,2
Topic_33,3
Topic_34,4
Topic_35,2
Topic_36,2
Topic_37,2
Topic_38,5
Topic_39,2
Topic_4,8
Topic_40,4
Topic_41,5
Topic_42,3
Topic_43,1
Topic_44,2
Topic_45,2
Topic_46,1
Topic_47,2
Topic_48,4
Topic_49,3
Topic_5,6
Topic_50,4
Topic_51,2
Topic_52,3
Topic_53,3
Topic_54,4
Topic_55,2
Topic_56,2
Topic_57,2
Topic_58,2
Topic_62,7
Topic_63,6
Topic_64,2
Topic_65,1
Topic_66,2
Topic_67,4
Topic_68,2
Topic_69,3
Topic_7,1
Topic_71,1
Topic_72,1
Topic_73,3
Topic_74,2
Topic_75,1
Topic_76,9
Topic_77,1
Topic_79,4
Topic_8,2
Topic_81,3
Topic_82,1
Topic_83,2
Topic_84,3
Topic_85,2
Topic_86,4
Topic_87,4
Topic_88,1
Topic_89,1
Topic_9,2
Topic_90,2
Topic_91,2
