Topic,Documents
Topic_1,3
Topic_10,1
Topic_11,16
Topic_12,3
Topic_13,2
Topic_14,2
Topic_15,1
Topic_17,7
Topic_18,2
Topic_19,5
Topic_2,1
Topic_20,1
Topic_21,4
Topic_22,6
Topic_23,3
Topic_24,5
Topic_25,3
Topic_26,6
Topic_27,4
Topic_28,3
Topic_29,4
Topic_3,6
Topic_30,7
Topic_31,3
Topic_32,5
Topic_34,4
Topic_35,3
Topic_36,7
Topic_37,4
Topic_38,4
Topic_39,3
Topic_4,7
Topic_40,4
Topic_41,6
Topic_42,3
Topic_43,1
Topic_44,2
Topic_45,2
Topic_46,1
Topic_47,4
Topic_48,3
Topic_49,2
Topic_5,3
Topic_50,3
Topic_51,3
Topic_52,6
Topic_53,1
Topic_54,3
Topic_55,4
Topic_56,7
Topic_57,1
Topic_58,4
Topic_59,3
Topic_6,8
Topic_60,3
Topic_61,1
Topic_62,1
Topic_63,5
Topic_7,14
Topic_8,4
Topic_9,3
